"","Provider_Number","FUH.30_.","FUH.30_Numerator","FUH.30_Denominator","FUH.7_.","FUH.7_Numerator","FUH.7_Denominator","HBIPS.2_Overall_Rate_Per_1000","HBIPS.2_Overall_Num","HBIPS.2_Overall_Den","HBIPS.3_Overall_Rate_Per_1000","HBIPS.3_Overall_Num","HBIPS.3_Overall_Den","HBIPS.5_Overall_._of_Total","HBIPS.5_Overall_Num","HBIPS.5_Overall_Den","SUB.1_.","SUB.1_Numerator","SUB.1_Denominator","SUB.2_.","SUB.2_Numerator","SUB.2_Denominator","SUB.2a_.","SUB.2a_Numerator","SUB.2a_Denominator","TOB.1_.","TOB.1_Numerator","TOB.1_Denominator","TOB.2_.","TOB.2_Numerator","TOB.2_Denominator","TOB.2a_.","TOB.2a_Numerator","TOB.2a_Denominator","TOB.3_.","TOB.3_Numerator","TOB.3_Denominator","TOB.3a_.","TOB.3a_Numerator","TOB.3a_Denominator","PEoC_Assessed_Response","EHR_Use_Response","HIE_Response","IMM.2_.","IMM.2_Numerator","IMM.2_Denominator","HCP_.","HCP_Numerator","HCP_Denominator"
"15",10078,"40.78","42","103","18.45","19","103","0.13","14.83","4651","0.00","0","4651","Not Available","0","0","99.77%","432","433","95.45%","63","66","95.45%","63","66","100.00%","504","504","97.94%","285","291","54.98%","160","291","92.55%","236","255","0.00%","0","255","No","Paper or Other Form","No","97.10%","268","276","88%","30","34"
"16",10085,"58.51","55","94","38.30","36","94","0.07","20.48","13064","0.04","13.5","13064","0.00%","0","26","95.36%","226","237","0.00%","0","19","0.00%","0","19","97.28%","250","257","0.00%","0","120","0.00%","0","120","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","69.34%","199","287","70%","134","192"
"17",10086,"64.00","16","25","Not Available","Not Available","Not Available","0.00","0","3458","0.00","0","3458","Not Available","Not Available","Not Available","100.00%","209","209","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","211","211","97.56%","40","41","97.56%","40","41","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","Not Available","Not Available","Not Available","77%","82","106"
"18",10089,"53.55","83","155","34.19","53","155","0.03","17.42","23061","0.00","0","23061","100.00%","23","23","99.81%","524","525","100.00%","75","75","98.67%","74","75","100.00%","560","560","99.70%","335","336","99.11%","333","336","99.37%","316","318","99.37%","316","318","Yes","Paper or Other Form","Yes","100.00%","302","302","99%","83","84"
"19",10091,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1595","0.00","0","1595","Not Available","Not Available","Not Available","96.27%","129","134","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.06%","152","155","0.00%","0","24","0.00%","0","24","Not Available","Not Available","Not Available","0.00%","0","16","No","Paper or Other Form","No","60.61%","20","33","78%","42","54"
"20",10092,"26.70","47","176","18.18","32","176","0.57","209.82","15472","0.12","45.83","15472","81.25%","13","16","100.00%","291","291","67.80%","40","59","66.10%","39","59","100.00%","317","317","90.59%","154","170","77.06%","131","170","40.56%","58","143","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","94.82%","293","309","74%","111","149"
"21",10101,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3634","0.00","0","3634","Not Available","Not Available","Not Available","100.00%","251","251","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.05%","252","257","100.00%","257","257","100.00%","257","257","0.00%","0","257","0.00%","0","257","No","Certified EHR Technology","Yes","100.00%","124","124","100%","25","25"
"22",10103,"44.12","15","34","Not Available","Not Available","Not Available","0.00","0","30844","0.00","0","30844","85.00%","17","20","98.73%","546","553","85.71%","36","42","76.19%","32","42","99.64%","559","561","87.50%","105","120","75.00%","90","120","81.08%","60","74","79.73%","59","74","Yes","Paper or Other Form","Yes","78.10%","214","274","93%","65","70"
"23",10104,"60.53","23","38","34.21","13","38","0.02","1.5","3683","0.00","0","3683","Not Available","Not Available","Not Available","100.00%","189","189","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.51%","204","205","100.00%","24","24","Not Available","Not Available","Not Available","100.00%","12","12","Not Available","Not Available","Not Available","No","Certified EHR Technology","No","100.00%","125","125","70%","56","80"
"24",10109,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00",".05","1590","0.00","0","1590","Not Available","Not Available","Not Available","87.10%","27","31","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","80","80","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","97.67%","42","43","100%","24","24"
"25",10110,"23.08","18","78","Not Available","Not Available","Not Available","0.55","79","5948","0.01","1.3","5948","18.45%","19","103","69.44%","359","517","100.00%","159","159","78.62%","125","159","68.85%","378","549","24.71%","42","170","Not Available","Not Available","Not Available","10.59%","18","170","0.00%","0","170","No","Paper or Other Form","No","13.00%","36","277","17%","12","72"
"26",10112,"60.00","12","20","Not Available","Not Available","Not Available","0.00","0","2169","0.00","0","2169","Not Available","Not Available","Not Available","89.71%","122","136","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97.14%","136","140","58.97%","23","39","56.41%","22","39","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","92.86%","65","70","91%","40","44"
"27",10113,"51.19","43","84","25.00","21","84","0.85","229","11263","0.12","32.42","11263","Not Available","Not Available","Not Available","99.60%","502","504","74.17%","89","120","63.33%","76","120","99.30%","569","573","89.90%","258","287","69.34%","199","287","51.66%","109","211","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","99.37%","314","316","67%","1009","1514"
"28",10114,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.11","16.05","6017","0.00","0","6017","37.50%","15","40","95.95%","379","395","58.62%","17","29","55.17%","16","29","95.72%","380","397","61.45%","51","83","33.73%","28","83","Not Available","Not Available","Not Available","0.00%","0","45","No","Paper or Other Form","Yes","86.89%","159","183","80%","53","66"
"29",10125,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1706","0.00","0","1706","Not Available","Not Available","Not Available","100.00%","103","103","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","104","104","97.50%","39","40","95.00%","38","40","100.00%","27","27","92.59%","25","27","No","Certified EHR Technology","Yes","100.00%","38","38","91%","154","169"
"30",10129,"52.38","11","21","Not Available","Not Available","Not Available","0.00","0","4108","0.00","0","4108","Not Available","0","0","98.90%","269","272","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.63%","270","271","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","22","Yes","Certified EHR Technology","Yes","94.08%","143","152","97%","302","311"
"31",10139,"45.56","164","360","25.00","90","360","0.31","285.58","37786","0.00","0","37786","Not Available","Not Available","Not Available","98.75%","710","719","87.07%","101","116","87.07%","101","116","99.86%","714","715","81.96%","359","438","75.34%","330","438","20.74%","84","405","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","88.00%","396","450","93%","2206","2368"
"32",10146,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","4643","0.00","0","4643","Not Available","Not Available","Not Available","91.98%","218","237","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.16%","237","239","46.43%","13","28","42.86%","12","28","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","97.32%","145","149","77%","30","39"
"33",10150,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","180","0.00","0","180","Not Available","0","0","99.44%","177","178","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","184","184","93.75%","15","16","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","78","78","63%","15","24"
"34",10157,"77.42","24","31","58.06","18","31","0.09","9.75","4753","0.09","9.75","4753","Not Available","Not Available","Not Available","99.54%","217","218","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94.04%","205","218","38.30%","18","47","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","99.35%","154","155","85%","34","40"
"35",10164,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","4906","0.00","0","4906","Not Available","Not Available","Not Available","98.80%","248","251","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.61%","255","256","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","21","Yes","Paper or Other Form","Yes","52.99%","62","117","84%","47","56"
"36",14000,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.02","9.57","25638","0.00","1.28","25638","89.29%","50","56","99.26%","401","404","99.17%","119","120","89.17%","107","120","99.51%","409","411","97.94%","285","291","8.93%","26","291","96.97%","256","264","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","89.58%","275","307","21%","95","449"
"37",14006,"44.26","27","61","Not Available","Not Available","Not Available","0.04","11.36","10805","0.00","0","10805","25.71%","18","70","10.68%","33","309","93.33%","14","15","86.67%","13","15","100.00%","351","351","52.99%","186","351","41.60%","146","351","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","0.00%","0","502","75%","260","348"
"38",14007,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.27","227.08","34487","0.04","31.17","34487","96.08%","49","51","100.00%","74","74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94.59%","70","74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","89.66%","26","29","96%","534","559"
"39",14012,"52.00","13","25","48.00","12","25","0.04","28","33264","0.10","81.55","33264","88.24%","15","17","97.22%","105","108","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.15%","116","117","86.21%","25","29","65.52%","19","29","Not Available","Not Available","Not Available","0.00%","0","23","Yes","Paper or Other Form","No","77.78%","42","54","93%","294","315"
"40",14014,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.16","36.18","9226","0.06","13.08","9226","58.81%","267","454","100.00%","76","76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","76","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","0.00%","0","578","69%","310","449"
"41",14015,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.12","15.83","5367","0.00","0","5367","Not Available","0","0","100.00%","28","28","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","28","28","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","94.74%","198","209","28%","34","121"
"42",14016,"41.96","47","112","16.07","18","112","0.00","0","7442","0.00","0","7442","Not Available","Not Available","Not Available","99.63%","540","542","23.08%","12","52","23.08%","12","52","99.82%","541","542","83.33%","150","180","81.67%","147","180","66.67%","72","108","64.81%","70","108","Yes","Paper or Other Form","No","88.40%","221","250","91%","146","161"
"43",14017,"55.71","78","140","34.29","48","140","0.04","14.17","15435","1.97","730.37","15435","64.11%","259","404","100.00%","1206","1206","100.00%","187","187","99.47%","186","187","0.00%","0","1498","0.00%","0","1498","0.00%","0","1498","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","0.00%","0","756","67%","300","445"
"44",14018,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00",".42","4316","0.00","0","4316","Not Available","0","0","99.61%","256","257","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","257","257","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","98.21%","55","56","50%","26","52"
"45",20008,"40.91","18","44","25.00","11","44","0.36","26.53","3029","0.00",".25","3029","Not Available","Not Available","Not Available","97.49%","194","199","94.25%","82","87","67.82%","59","87","99.21%","375","378","86.27%","201","233","42.06%","98","233","21.05%","44","209","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","93.00%","226","243","65%","521","799"
"46",24001,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.10","80.16","32136","0.48","369.6","32136","Not Available","Not Available","Not Available","98.48%","130","132","100.00%","94","94","98.94%","93","94","100.00%","133","133","92.31%","84","91","53.85%","49","91","60.53%","46","76","0.00%","0","76","Yes","Paper or Other Form","No","91.69%","287","313","53%","277","519"
"47",24002,"42.38","64","151","14.57","22","151","0.33","205.95","25882","0.49","306.35","25882","18.97%","11","58","94.05%","916","974","0.00%","0","122","0.00%","0","122","99.92%","1191","1192","Not Available","Not Available","Not Available","0.00%","0","669","0.00%","0","523","0.00%","0","523","Yes","Paper or Other Form","No","19.25%","113","587","80%","333","418"
"48",30002,"66.67","18","27","48.15","13","27","0.02","2.8","6706","0.01","1.18","6706","Not Available","Not Available","Not Available","99.82%","549","550","94.87%","111","117","84.62%","99","117","100.00%","572","572","80.77%","231","286","55.59%","159","286","17.14%","42","245","10.61%","26","245","Yes","Certified EHR Technology","Yes","99.67%","304","305","97%","76","78"
"49",30006,"57.69","15","26","46.15","12","26","0.00","0","4294","0.00","0","4294","Not Available","Not Available","Not Available","76.11%","258","339","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","367","367","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","84.00%","147","175","94%","45","48"
"50",30007,"80.00","12","15","Not Available","Not Available","Not Available","0.00","0","2054","0.00","0","2054","Not Available","Not Available","Not Available","96.77%","150","155","62.79%","27","43","62.79%","27","43","97.63%","165","169","86.96%","80","92","30.43%","28","92","57.81%","37","64","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","80","80","92%","24","26"
"51",30010,"57.58","19","33","33.33","11","33","0.00","0","8209","0.00","0","8209","Not Available","Not Available","Not Available","97.23%","421","433","95.35%","82","86","95.35%","82","86","99.34%","449","452","57.05%","89","156","42.31%","66","156","27.56%","35","127","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","90.12%","228","253","100%","166","166"
"52",30011,"60.00","12","20","Not Available","Not Available","Not Available","0.03","4.3","6008","0.00","0","6008","Not Available","Not Available","Not Available","99.10%","438","442","100.00%","154","154","100.00%","154","154","96.91%","470","485","78.31%","231","295","47.80%","141","295","27.41%","71","259","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","98.32%","292","297","97%","115","118"
"53",30022,"44.91","119","265","36.60","97","265","1.78","3025.9","70677","0.80","1352","70677","77.23%","78","101","99.52%","623","626","83.51%","81","97","71.13%","69","97","90.98%","575","632","36.12%","108","299","26.42%","79","299","Not Available","Not Available","Not Available","0.00%","0","276","Yes","Certified EHR Technology","Yes","95.08%","309","325","93%","924","991"
"54",30023,"52.63","20","38","31.58","12","38","0.01","1.92","6476","0.01","1.67","6476","Not Available","Not Available","Not Available","98.48%","453","460","87.27%","144","165","85.45%","141","165","96.57%","479","496","72.22%","156","216","46.76%","101","216","25.93%","49","189","7.41%","14","189","Yes","Certified EHR Technology","Yes","97.00%","323","333","89%","74","83"
"55",30037,"50.00","90","180","27.78","50","180","0.00","0","12794","0.00",".17","12794","0.00%","0","15","91.68%","672","733","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89.69%","696","776","68.68%","125","182","0.00%","0","182","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","90.20%","414","459","33%","296","892"
"56",30043,"33.33","13","39","Not Available","Not Available","Not Available","0.06","8.97","6039","0.05","7.13","6039","92.11%","35","38","99.79%","468","469","96.00%","48","50","96.00%","48","50","100.00%","533","533","93.80%","242","258","49.22%","127","258","21.67%","52","240","18.75%","45","240","Yes","Paper or Other Form","No","98.64%","291","295","97%","122","126"
"57",30089,"51.43","36","70","38.57","27","70","0.06","24.5","18094","0.00",".25","18094","Not Available","Not Available","Not Available","99.23%","515","519","86.61%","110","127","73.23%","93","127","99.83%","605","606","55.98%","192","343","35.86%","123","343","7.03%","22","313","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","99.65%","286","287","96%","66","69"
"58",30093,"68.07","81","119","38.66","46","119","0.05","17.62","16247","0.00","0","16247","75.00%","12","16","99.40%","666","670","76.40%","68","89","70.79%","63","89","99.58%","715","718","72.13%","176","244","38.11%","93","244","8.41%","18","214","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","307","307","95%","98","103"
"59",30111,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.19","11.15","2473","0.16","9.63","2473","Not Available","Not Available","Not Available","95.60%","87","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.98%","97","98","36.36%","12","33","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","86.05%","37","43","98%","1025","1044"
"60",30114,"89.74","35","39","56.41","22","39","Not Available","0","0","Not Available","0","0","0.00%","0","15","99.68%","310","311","75.53%","71","94","74.47%","70","94","100.00%","325","325","94.83%","110","116","52.59%","61","116","68.93%","71","103","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","96.26%","180","187","64%","49","77"
"61",30121,"58.46","38","65","32.31","21","65","0.00","0","6400","0.00","0","6400","0.00%","0","20","79.20%","316","399","66.67%","16","24","66.67%","16","24","65.43%","265","405","64.29%","27","42","0.00%","0","42","Not Available","Not Available","Not Available","0.00%","0","38","No","Paper or Other Form","No","97.38%","186","191","94%","31","33"
"62",34004,"52.75","48","91","31.87","29","91","0.06","31.97","21012","0.02","10.32","21012","91.67%","11","12","97.19%","380","391","65.22%","60","92","63.04%","58","92","100.00%","424","424","48.51%","114","235","39.15%","92","235","15.22%","35","230","5.22%","12","230","Yes","Certified EHR Technology","Yes","89.24%","282","316","95%","352","372"
"63",34013,"55.10","108","196","39.29","77","196","0.03","34.69","41647","0.06","57.21","41647","63.29%","50","79","98.96%","759","767","65.99%","130","197","63.45%","125","197","96.78%","812","839","83.08%","275","331","Not Available","Not Available","Not Available","6.11%","19","311","Not Available","Not Available","Not Available","No","Paper or Other Form","No","91.62%","525","573","90%","396","441"
"64",34020,"43.86","25","57","28.07","16","57","0.00",".1","13183","0.00","0","13183","Not Available","Not Available","Not Available","99.55%","444","446","45.45%","15","33","45.45%","15","33","100.00%","465","465","44.59%","33","74","14.86%","11","74","Not Available","Not Available","Not Available","0.00%","0","60","Yes","Paper or Other Form","No","73.11%","193","264","25%","28","111"
"65",34021,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.50","304.53","25212","0.12","73.18","25212","100.00%","12","12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"66",34022,"43.59","51","117","31.62","37","117","0.05","26.07","22160","0.03","15.95","22160","36.67%","11","30","100.00%","334","334","75.00%","33","44","75.00%","33","44","97.15%","375","386","93.87%","153","163","35.58%","58","163","56.60%","90","159","15.09%","24","159","Yes","Paper or Other Form","No","27.80%","134","482","77%","182","235"
"67",34023,"52.63","20","38","39.47","15","38","0.04","2.66","3113","0.18","13.82","3113","100.00%","44","44","98.28%","571","581","100.00%","16","16","100.00%","16","16","100.00%","581","581","0.00%","0","221","0.00%","0","221","81.45%","180","221","0.00%","0","221","Yes","Certified EHR Technology","No","0.00%","0","304","71%","214","302"
"68",34024,"49.23","64","130","29.23","38","130","0.01","10.4","33096","0.00","0","33096","97.56%","40","41","99.34%","749","754","93.53%","130","139","84.17%","117","139","99.61%","772","775","97.91%","515","526","3.04%","16","526","96.42%","458","475","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","99.14%","461","465","22%","72","323"
"69",34025,"52.17","24","46","30.43","14","46","0.05","6.08","5097","0.00",".42","5097","Not Available","Not Available","Not Available","55.03%","312","567","65.09%","151","232","53.88%","125","232","97.14%","578","595","68.61%","247","360","36.94%","133","360","38.46%","135","351","8.83%","31","351","Yes","Certified EHR Technology","No","98.31%","290","295","47%","23","49"
"70",34026,"51.01","101","198","40.91","81","198","0.01","4.9","39170","0.00","0","39170","100.00%","41","41","99.75%","788","790","100.00%","341","341","99.12%","338","341","100.00%","808","808","100.00%","474","474","20.46%","97","474","100.00%","362","362","0.00%","0","362","Yes","Paper or Other Form","No","98.50%","395","401","86%","504","588"
"71",34027,"69.23","36","52","50.00","26","52","0.06","3.6","2448","0.19","11.18","2448","97.14%","102","105","79.94%","538","673","100.00%","154","154","55.84%","86","154","100.00%","673","673","100.00%","296","296","25.00%","74","296","0.00%","0","296","0.00%","0","296","Yes","Non-Certified EHR Technology","No","13.22%","46","348","80%","44","55"
"72",34028,"46.88","30","64","37.50","24","64","0.03","18.96","27846","0.00","0","27846","Not Available","Not Available","Not Available","99.73%","364","365","86.02%","80","93","69.89%","65","93","95.80%","365","381","92.06%","116","126","11.90%","15","126","79.49%","93","117","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","87.50%","336","384","45%","199","443"
