"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"AD HOSPITAL EAST, LLC",670102,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADAIR COUNTY MEMORIAL HOSPITAL",161310,"138","20","Not Available","Not Available","Not Available","Not Available","86","Not Available","19","70","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","86","8","Not Available","Not Available"
"ADAMS COUNTY REGIONAL MEDICAL CENTER",361326,"294","95","Low (0 - 19,999 patients annually)","88","80","Not Available","136","Not Available","30","50","1","31","Not Available","Not Available","Not Available","Not Available","Not Available","96","19","Not Available","Not Available"
"ADAMS MEMORIAL HOSPITAL",151330,"200","50","Not Available","90","90","Not Available","101","Not Available","27","46","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","39","100","6","Not Available","Not Available"
"ADCARE HOSPITAL OF WORCESTER INC",220062,"Not Available","Not Available","Not Available","95","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADENA PIKE MEDICAL CENTER",361334,"209","72","Not Available","100","92","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADENA REGIONAL MEDICAL CENTER",360159,"234","100","High (40,000 - 59,999 patients annually)","99","95","Not Available","150","Not Available","17","44","2","88","88","98","Not Available","100","Not Available","91","11","0","Not Available"
"ADIRONDACK MEDICAL CENTER",330079,"262","71","Low (0 - 19,999 patients annually)","90","92","Not Available","102","Not Available","17","52","0","Not Available","99","91","Not Available","Not Available","Not Available","97","12","0","Not Available"
"ADMIN DE SERVICIOS MEDICOS  PUERTO RIC",400127,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVANCED SURGICAL HOSPITAL",390323,"Not Available","Not Available","Low (0 - 19,999 patients annually)","100","63","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVENTIST BOLINGBROOK HOSPITAL",140304,"207","48","Medium (20,000 - 39,999 patients annually)","99","88","Not Available","133","Not Available","26","55","1","65","96","94","Not Available","Not Available","Not Available","Not Available","Not Available","2","Not Available"
"ADVENTIST GLENOAKS",140292,"232","84","Medium (20,000 - 39,999 patients annually)","98","95","Not Available","114","Not Available","12","37","0","Not Available","97","79","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ADVENTIST HEALTH BAKERSFIELD",50455,"602","402","Very High (60,000+ patients annually)","99","80","Not Available","218","Not Available","34","62","4","60","99","97","Not Available","91","Not Available","100","5","0","6"
"ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY",51301,"268","5","Not Available","88","82","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ADVENTIST HEALTH SIMI VALLEY",50236,"322","157","Medium (20,000 - 39,999 patients annually)","96","84","Not Available","160","Not Available","17","58","1","86","85","74","Not Available","Not Available","Not Available","95","8","0","0"
"ADVENTIST HEALTH SONORA",50335,"390","163","Medium (20,000 - 39,999 patients annually)","97","84","28","182","55","21","73","1","78","98","98","Not Available","95","Not Available","100","14","0","0"
"ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER",210057,"394","160","Very High (60,000+ patients annually)","99","Not Available","Not Available","172","Not Available","18","56","1","77","91","100","Not Available","Not Available","Not Available","97","12","0","0"
"ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL",210016,"464","252","High (40,000 - 59,999 patients annually)","99","97","Not Available","180","Not Available","16","19","1","Not Available","89","100","Not Available","Not Available","Not Available","100","5","2","0"
"ADVENTIST HINSDALE HOSPITAL",140122,"219","63","Medium (20,000 - 39,999 patients annually)","98","84","Not Available","172","Not Available","20","41","1","Not Available","72","87","Not Available","87","Not Available","Not Available","Not Available","0","Not Available"
"ADVENTIST LA GRANGE MEMORIAL HOSPITAL",140065,"224","70","Medium (20,000 - 39,999 patients annually)","99","80","Not Available","151","Not Available","19","39","1","83","84","90","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ADVENTIST MEDICAL CENTER",50121,"324","128","Very High (60,000+ patients annually)","91","91","Not Available","136","Not Available","17","82","1","43","58","78","Not Available","Not Available","64","96","22","4","Not Available"
"ADVENTIST MEDICAL CENTER",380060,"263","109","High (40,000 - 59,999 patients annually)","88","77","Not Available","161","Not Available","13","30","1","82","99","94","Not Available","Not Available","Not Available","90","0","0","0"
"ADVENTIST MEDICAL CENTER - REEDLEY",50192,"341","104","Medium (20,000 - 39,999 patients annually)","94","92","Not Available","129","Not Available","13","60","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","84","42","3","Not Available"
"ADVOCATE BROMENN MEDICAL CENTER",140127,"275","102","Medium (20,000 - 39,999 patients annually)","99","98","Not Available","164","Not Available","19","56","2","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER",140208,"406","266","Very High (60,000+ patients annually)","99","97","Not Available","212","Not Available","72","19","4","Not Available","84","98","Not Available","100","Not Available","Not Available","Not Available","1","0"
"ADVOCATE CONDELL MEDICAL CENTER",140202,"279","126","Very High (60,000+ patients annually)","99","99","Not Available","158","Not Available","21","36","1","88","99","100","Not Available","100","Not Available","Not Available","Not Available","2","0"
"ADVOCATE EUREKA  HOSPITAL",141309,"200","32","Low (0 - 19,999 patients annually)","100","98","Not Available","116","Not Available","14","40","1","Not Available","100","98","Not Available","Not Available","Not Available","92","4","Not Available","Not Available"
"ADVOCATE GOOD SAMARITAN HOSPITAL",140288,"340","140","High (40,000 - 59,999 patients annually)","99","96","Not Available","186","Not Available","27","30","1","Not Available","84","84","Not Available","100","Not Available","Not Available","Not Available","2","2"
"ADVOCATE GOOD SHEPHERD HOSPITAL",140291,"283","114","Medium (20,000 - 39,999 patients annually)","98","97","Not Available","150","Not Available","19","32","1","91","99","77","Not Available","100","Not Available","Not Available","Not Available","1","0"
"ADVOCATE ILLINOIS MASONIC MEDICAL CENTER",140182,"325","108","High (40,000 - 59,999 patients annually)","100","98","Not Available","232","Not Available","54","42","2","Not Available","93","99","Not Available","100","Not Available","Not Available","Not Available","0","0"
"ADVOCATE LUTHERAN GENERAL HOSPITAL",140223,"297","88","Very High (60,000+ patients annually)","99","97","Not Available","208","Not Available","29","26","2","Not Available","90","93","Not Available","100","Not Available","Not Available","Not Available","0","0"
"ADVOCATE SOUTH SUBURBAN HOSPITAL",140250,"393","134","High (40,000 - 59,999 patients annually)","100","97","Not Available","215","Not Available","64","32","5","100","88","89","Not Available","Not Available","Not Available","83","10","1","0"
"ADVOCATE TRINITY HOSPITAL",140048,"434","199","High (40,000 - 59,999 patients annually)","100","97","Not Available","182","Not Available","41","30","3","88","91","93","Not Available","Not Available","Not Available","Not Available","Not Available","1","3"
"AFFINITY MEDICAL CENTER",360151,"303","90","Medium (20,000 - 39,999 patients annually)","98","71","Not Available","158","Not Available","21","71","3","Not Available","93","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AHMC ANAHEIM REGIONAL MEDICAL CENTER",50226,"309","156","High (40,000 - 59,999 patients annually)","94","55","Not Available","195","Not Available","47","76","5","Not Available","84","88","Not Available","Not Available","Not Available","89","12","0","0"
"AIKEN REGIONAL MEDICAL CENTER",420082,"356","149","High (40,000 - 59,999 patients annually)","99","97","Not Available","189","Not Available","47","60","1","65","92","96","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"AKRON CHILDREN'S HOSPITAL",363303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AKRON GENERAL MEDICAL CENTER",360027,"342","80","Low (0 - 19,999 patients annually)","94","82","Not Available","158","Not Available","30","63","6","Not Available","100","100","Not Available","71","Not Available","95","8","0","3"
"ALAMANCE REGIONAL MEDICAL CENTER",340070,"300","117","Very High (60,000+ patients annually)","95","95","Not Available","190","Not Available","58","74","2","52","91","92","Not Available","Not Available","Not Available","100","8","2","0"
"ALAMEDA HOSPITAL",50211,"270","122","Medium (20,000 - 39,999 patients annually)","91","75","Not Available","129","Not Available","18","45","3","Not Available","Not Available","Not Available","Not Available","Not Available","80","94","9","Not Available","Not Available"
"ALASKA NATIVE MEDICAL CENTER",20026,"451","180","High (40,000 - 59,999 patients annually)","84","82","Not Available","127","Not Available","47","74","6","Not Available","85","92","Not Available","Not Available","Not Available","Not Available","Not Available","16","Not Available"
"ALASKA REGIONAL HOSPITAL",20017,"278","104","Medium (20,000 - 39,999 patients annually)","99","71","Not Available","115","Not Available","9","38","0","Not Available","91","91","Not Available","Not Available","Not Available","Not Available","Not Available","1","Not Available"
"ALBANY MEDICAL CENTER HOSPITAL",330013,"393","195","Very High (60,000+ patients annually)","88","93","Not Available","282","Not Available","70","33","3","Not Available","83","87","Not Available","97","Not Available","Not Available","Not Available","0","0"
"ALBANY MEMORIAL HOSPITAL",330003,"444","294","High (40,000 - 59,999 patients annually)","100","78","Not Available","112","Not Available","47","82","3","Not Available","97","100","Not Available","Not Available","62","100","8","Not Available","Not Available"
"ALBERT EINSTEIN MEDICAL CENTER",390142,"348","120","Very High (60,000+ patients annually)","93","98","Not Available","186","Not Available","42","58","5","Not Available","90","40","Not Available","100","Not Available","Not Available","Not Available","0","2"
"ALEXIAN BROTHERS MEDICAL CENTER 1",140258,"258","112","High (40,000 - 59,999 patients annually)","96","87","Not Available","156","Not Available","13","34","1","Not Available","98","99","Not Available","88","Not Available","Not Available","Not Available","0","0"
"ALFRED I DUPONT HOSPITAL FOR CHILDREN",83300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALHAMBRA HOSPITAL MEDICAL CENTER",50281,"193","41","Low (0 - 19,999 patients annually)","98","70","Not Available","118","Not Available","21","44","1","Not Available","92","94","Not Available","Not Available","Not Available","98","8","Not Available","Not Available"
"ALICE HYDE MEDICAL CENTER",330084,"200","58","Low (0 - 19,999 patients annually)","96","97","16","122","64","11","42","0","Not Available","70","88","Not Available","Not Available","Not Available","97","5","0","Not Available"
"ALICE PECK DAY MEMORIAL HOSPITAL",301305,"Not Available","Not Available","Not Available","87","96","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALL CHILDREN'S HOSPITAL, INC",103300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLEGAN GENERAL HOSPITAL",231328,"Not Available","Not Available","Not Available","98","81","Not Available","136","Not Available","12","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","4","Not Available","Not Available"
"ALLEGHANY COUNTY MEMORIAL HOSPITAL",341320,"185","60","Not Available","Not Available","Not Available","Not Available","75","Not Available","14","45","Not Available","55","Not Available","Not Available","Not Available","Not Available","Not Available","100","8","Not Available","Not Available"
"ALLEGHENY GENERAL HOSPITAL",390050,"280","107","High (40,000 - 59,999 patients annually)","90","76","Not Available","171","Not Available","9","59","0","Not Available","72","99","Not Available","96","Not Available","Not Available","Not Available","Not Available","0"
"ALLEGHENY VALLEY HOSPITAL",390032,"256","80","Medium (20,000 - 39,999 patients annually)","95","75","Not Available","124","Not Available","12","42","0","Not Available","96","94","Not Available","100","56","97","7","Not Available","13"
"ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE",450488,"Not Available","Not Available","Not Available","Not Available","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLEN COUNTY REGIONAL HOSPITAL",171373,"187","29","Not Available","88","90","Not Available","97","Not Available","24","42","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLEN HOSPITAL",160110,"178","53","Medium (20,000 - 39,999 patients annually)","97","97","Not Available","135","Not Available","17","37","0","70","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ALLEN PARISH HOSPITAL",190133,"253","51","Low (0 - 19,999 patients annually)","88","74","Not Available","95","Not Available","17","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","91","16","Not Available","Not Available"
"ALLENDALE COUNTY HOSPITAL",421300,"Not Available","Not Available","Not Available","Not Available","52","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLIANCE COMMUNITY HOSPITAL",360131,"256","81","Medium (20,000 - 39,999 patients annually)","99","66","Not Available","119","Not Available","21","44","2","44","87","95","Not Available","Not Available","50","96","5","Not Available","Not Available"
"ALLIANCE HEALTH CENTER",250151,"Not Available","Not Available","Not Available","46","87","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLIANCE HEALTHCARE SYSTEM",250012,"210","90","Low (0 - 19,999 patients annually)","40","70","Not Available","101","Not Available","26","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLIANCEHEALTH CLINTON",370029,"225","65","Low (0 - 19,999 patients annually)","97","88","Not Available","95","Not Available","5","37","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","91","12","4","Not Available"
"ALLIANCEHEALTH DEACONESS",370032,"259","78","Medium (20,000 - 39,999 patients annually)","98","66","Not Available","124","Not Available","21","50","1","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ALLIANCEHEALTH DURANT",370014,"238","70","Medium (20,000 - 39,999 patients annually)","97","93","Not Available","125","Not Available","10","62","1","29","73","Not Available","Not Available","Not Available","Not Available","Not Available","12","3","Not Available"
"ALLIANCEHEALTH MADILL",371326,"191","51","Low (0 - 19,999 patients annually)","91","93","Not Available","76","Not Available","12","38","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","15","Not Available","Not Available"
"ALLIANCEHEALTH MIDWEST",370094,"260","98","Medium (20,000 - 39,999 patients annually)","96","65","Not Available","138","Not Available","37","73","2","Not Available","95","42","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"ALLIANCEHEALTH PONCA CITY",370006,"210","58","Medium (20,000 - 39,999 patients annually)","100","89","18","106","91","28","46","2","67","100","100","Not Available","Not Available","Not Available","99","5","0","Not Available"
"ALLIANCEHEALTH SEMINOLE",370229,"235","57","Low (0 - 19,999 patients annually)","71","98","Not Available","88","Not Available","10","48","1","Not Available","100","100","Not Available","Not Available","Not Available","89","7","Not Available","Not Available"
"ALLIANCEHEALTH WOODWARD",370002,"170","38","Low (0 - 19,999 patients annually)","100","81","Not Available","82","Not Available","8","23","1","Not Available","100","100","Not Available","Not Available","Not Available","98","4","2","Not Available"
"ALTA BATES SUMMIT MEDICAL CENTER",50043,"320","155","High (40,000 - 59,999 patients annually)","100","82","Not Available","196","Not Available","33","76","2","82","100","100","Not Available","24","Not Available","Not Available","Not Available","Not Available","0"
"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP",50305,"330","167","High (40,000 - 59,999 patients annually)","99","86","Not Available","218","Not Available","32","79","3","Not Available","100","100","Not Available","94","56","100","11","1","0"
"ALTA VIEW HOSPITAL",460044,"233","71","Medium (20,000 - 39,999 patients annually)","97","98","Not Available","156","Not Available","13","32","1","Not Available","94","100","Not Available","Not Available","24","98","8","2","Not Available"
"ALTON MEMORIAL HOSPITAL",140002,"246","75","High (40,000 - 59,999 patients annually)","94","96","Not Available","113","Not Available","17","47","2","91","96","69","Not Available","Not Available","40","97","8","5","Not Available"
"ALTRU HOSPITAL",350019,"240","98","Medium (20,000 - 39,999 patients annually)","98","98","Not Available","156","Not Available","22","54","1","50","94","95","Not Available","100","Not Available","Not Available","Not Available","0","0"
"ALTUS BAYTOWN HOSPITAL",670109,"Not Available","Not Available","Low (0 - 19,999 patients annually)","55","53","Not Available","Not Available","Not Available","Not Available","Not Available","3","Not Available","22","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALVARADO HOSPITAL MEDICAL CENTER",50757,"225","52","Medium (20,000 - 39,999 patients annually)","97","77","Not Available","188","Not Available","53","116","4","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AMERICAN FORK HOSPITAL",460023,"229","93","Medium (20,000 - 39,999 patients annually)","98","98","Not Available","154","Not Available","19","36","1","71","100","100","Not Available","Not Available","28","97","8","5","Not Available"
"AMERY HOSPITAL & CLINIC",521308,"128","1","Low (0 - 19,999 patients annually)","86","88","Not Available","85","Not Available","6","48","0","Not Available","Not Available","Not Available","Not Available","Not Available","74","96","7","0","Not Available"
"ANAHEIM GLOBAL MEDICAL CENTER",50744,"364","165","Low (0 - 19,999 patients annually)","83","94","Not Available","134","Not Available","13","44","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94","5","0","Not Available"
"ANDALUSIA REGIONAL HOSPITAL",10036,"178","52","Medium (20,000 - 39,999 patients annually)","99","54","Not Available","86","Not Available","3","20","1","Not Available","96","100","Not Available","Not Available","Not Available","100","0","0","Not Available"
"ANDERSON COUNTY HOSPITAL",171316,"187","53","Low (0 - 19,999 patients annually)","98","99","Not Available","90","Not Available","24","42","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANDERSON HOSPITAL",140289,"282","86","Medium (20,000 - 39,999 patients annually)","97","95","Not Available","176","Not Available","43","66","3","83","85","79","Not Available","Not Available","Not Available","91","7","0","Not Available"
"ANDERSON REGIONAL MEDICAL CTR",250104,"253","98","Medium (20,000 - 39,999 patients annually)","99","63","Not Available","153","Not Available","40","82","3","65","98","100","Not Available","0","Not Available","Not Available","Not Available","0","0"
"ANDERSON RMC SOUTH",250081,"Not Available","Not Available","Not Available","Not Available","77","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANDROSCOGGIN VALLEY HOSPITAL",301310,"260","56","Not Available","86","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANGEL MEDICAL CENTER",341326,"256","81","Medium (20,000 - 39,999 patients annually)","96","94","Not Available","143","Not Available","16","50","2","84","97","100","Not Available","Not Available","Not Available","100","6","0","Not Available"
"ANIMAS SURGICAL HOSPITAL, LLC",60117,"Not Available","Not Available","Low (0 - 19,999 patients annually)","98","100","Not Available","76","Not Available","16","44","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANMED HEALTH",420027,"352","95","Very High (60,000+ patients annually)","93","100","Not Available","204","Not Available","75","87","5","Not Available","87","83","Not Available","70","Not Available","Not Available","Not Available","1","0"
"ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO",143300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANNA JAQUES HOSPITAL",220029,"306","109","Medium (20,000 - 39,999 patients annually)","98","96","Not Available","147","Not Available","41","72","2","73","96","97","Not Available","Not Available","58","100","10","5","Not Available"
"ANNE ARUNDEL MEDICAL CENTER",210023,"483","270","Very High (60,000+ patients annually)","99","96","Not Available","199","Not Available","49","46","2","76","96","97","Not Available","99","Not Available","96","5","2","0"
"ANNE BATES LEACH EYE HOSPITAL",100240,"Not Available","Not Available","Medium (20,000 - 39,999 patients annually)","100","89","Not Available","146","Not Available","113","Not Available","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER",281314,"Not Available","Not Available","Low (0 - 19,999 patients annually)","73","59","Not Available","73","Not Available","20","30","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANSON GENERAL HOSPITAL",450078,"83","15","Low (0 - 19,999 patients annually)","43","43","Not Available","55","Not Available","13","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANTELOPE MEMORIAL HOSPITAL",281326,"Not Available","Not Available","Low (0 - 19,999 patients annually)","81","89","Not Available","92","Not Available","23","38","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","Not Available","Not Available","Not Available"
"ANTELOPE VALLEY HOSPITAL",50056,"541","246","Very High (60,000+ patients annually)","86","63","Not Available","198","Not Available","50","84","5","72","96","100","Not Available","Not Available","Not Available","93","12","0","0"
"ANTHONY MEDICAL CENTER",171346,"105","12","Not Available","72","53","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"APPLETON MUNICIPAL HOSPITAL",241341,"91","0","Not Available","Not Available","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"APPLING HOSPITAL",110071,"216","51","Low (0 - 19,999 patients annually)","95","95","Not Available","113","Not Available","27","57","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARBUCKLE MEMORIAL HOSPITAL AUTHORITY",371328,"Not Available","Not Available","Not Available","Not Available","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARIA HEALTH",390115,"368","142","Very High (60,000+ patients annually)","93","99","Not Available","174","Not Available","31","50","5","91","52","64","Not Available","88","Not Available","Not Available","Not Available","Not Available","0"
"ARISE AUSTIN MEDICAL CENTER",450871,"Not Available","Not Available","Low (0 - 19,999 patients annually)","78","39","Not Available","165","Not Available","0","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARIZONA SPECIALTY HOSPITAL",30112,"Not Available","Not Available","Not Available","98","86","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARIZONA SPINE AND JOINT HOSPITAL",30107,"Not Available","Not Available","Not Available","99","99","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
