"Hospital.Name","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8","OP_9"
"ALLIANCE HEALTH CENTER",250151,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALLIANCE HEALTHCARE SYSTEM",250012,"55.6","Not Available","Not Available","Not Available","Not Available","9.7"
"ALLIANCEHEALTH CLINTON",370029,"12.5","9.0","Not Available","Not Available","Not Available","5.0"
"ALLIANCEHEALTH DEACONESS",370032,"9.4","2.4","4.7","1.7","32.0","5.6"
"ALLIANCEHEALTH DURANT",370014,"14.2","3.4","5.4","0.9","32.7","13.5"
"ALLIANCEHEALTH MADILL",371326,"4.8","0.0","Not Available","Not Available","Not Available","Not Available"
"ALLIANCEHEALTH MIDWEST",370094,"12.9","12.4","Not Available","1.9","37.8","5.6"
"ALLIANCEHEALTH PONCA CITY",370006,"10.9","1.1","1.0","0.6","46.3","13.9"
"ALLIANCEHEALTH SEMINOLE",370229,"7.4","3.5","Not Available","Not Available","Not Available","2.8"
"ALLIANCEHEALTH WOODWARD",370002,"22.1","10.8","3.2","0.9","47.1","8.4"
"ALTA BATES SUMMIT MEDICAL CENTER",50043,"9.8","0.3","5.3","1.3","Not Available","4.0"
"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP",50305,"2.8","0.0","4.1","0.6","Not Available","5.1"
"ALTA VIEW HOSPITAL",460044,"5.5","1.1","4.4","Not Available","46.2","8.5"
"ALTON MEMORIAL HOSPITAL",140002,"2.9","0.0","4.8","0.3","39.3","4.8"
"ALTRU HOSPITAL",350019,"7.1","0.0","4.5","1.1","35.1","12.7"
"ALTUS BAYTOWN HOSPITAL",670109,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ALVARADO HOSPITAL MEDICAL CENTER",50757,"4.6","2.0","1.7","Not Available","Not Available","Not Available"
"AMERICAN FORK HOSPITAL",460023,"5.4","0.0","3.2","1.1","52.1","6.1"
"AMERY HOSPITAL & CLINIC",521308,"4.7","1.2","Not Available","0.0","Not Available","5.6"
"ANAHEIM GLOBAL MEDICAL CENTER",50744,"Not Available","Not Available","Not Available","0.0","Not Available","Not Available"
"ANDALUSIA REGIONAL HOSPITAL",10036,"9.9","16.5","1.2","1.5","29.1","5.2"
"ANDERSON COUNTY HOSPITAL",171316,"29.1","0.0","4.6","Not Available","Not Available","7.9"
"ANDERSON HOSPITAL",140289,"2.9","0.0","2.0","1.5","41.5","12.7"
"ANDERSON REGIONAL MEDICAL CTR",250104,"15.8","5.2","Not Available","1.5","39.0","9.0"
"ANDERSON RMC SOUTH",250081,"Not Available","Not Available","Not Available","0.0","Not Available","Not Available"
"ANDROSCOGGIN VALLEY HOSPITAL",301310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANGEL MEDICAL CENTER",341326,"5.1","0.8","2.8","1.8","42.5","5.4"
"ANIMAS SURGICAL HOSPITAL, LLC",60117,"Not Available","Not Available","Not Available","Not Available","36.5","Not Available"
"ANMED HEALTH",420027,"7.0","0.0","3.3","1.3","50.9","11.6"
"ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO",143300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANNA JAQUES HOSPITAL",220029,"2.7","0.2","3.0","2.3","Not Available","7.4"
"ANNE ARUNDEL MEDICAL CENTER",210023,"0.8","0.9","Not Available","2.1","Not Available","Not Available"
"ANNE BATES LEACH EYE HOSPITAL",100240,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER",281314,"Not Available","Not Available","Not Available","0.0","Not Available","5.3"
"ANSON GENERAL HOSPITAL",450078,"Not Available","Not Available","Not Available","0.0","Not Available","Not Available"
"ANTELOPE MEMORIAL HOSPITAL",281326,"4.0","0.0","Not Available","Not Available","Not Available","13.0"
"ANTELOPE VALLEY HOSPITAL",50056,"0.6","4.1","4.4","0.2","Not Available","Not Available"
"ANTHONY MEDICAL CENTER",171346,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"APPLETON MUNICIPAL HOSPITAL",241341,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"APPLING HOSPITAL",110071,"9.7","8.5","Not Available","Not Available","Not Available","2.6"
"ARBUCKLE MEMORIAL HOSPITAL AUTHORITY",371328,"4.9","5.4","Not Available","1.2","Not Available","Not Available"
"ARIA HEALTH",390115,"3.5","0.2","6.8","2.6","Not Available","7.1"
"ARISE AUSTIN MEDICAL CENTER",450871,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARIZONA SPECIALTY HOSPITAL",30112,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARIZONA SPINE AND JOINT HOSPITAL",30107,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARKANSAS CHILDREN'S HOSPITAL",43300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARKANSAS HEART HOSPITAL, LLC",40134,"12.4","16.0","3.9","Not Available","Not Available","Not Available"
"ARKANSAS METHODIST MEDICAL CENTER",40039,"37.0","0.9","Not Available","Not Available","43.2","6.5"
"ARKANSAS SURGICAL HOSPITAL",40147,"Not Available","Not Available","Not Available","Not Available","39.4","Not Available"
"ARNOT OGDEN MEDICAL CENTER",330090,"6.5","1.9","3.8","2.4","35.6","7.5"
"AROOSTOOK MEDICAL CENTER",200018,"2.9","0.5","5.4","Not Available","Not Available","4.3"
"ARROWHEAD REGIONAL MEDICAL CENTER",50245,"5.0","0.0","2.7","0.7","Not Available","4.5"
"ARTESIA GENERAL HOSPITAL",320030,"12.4","1.2","Not Available","Not Available","Not Available","13.5"
"ASANTE ASHLAND COMMUNITY HOSPITAL",380005,"5.6","1.5","Not Available","Not Available","Not Available","9.8"
"ASANTE ROGUE REGIONAL MEDICAL CENTER",380018,"5.9","0.0","3.9","2.0","40.8","9.9"
"ASANTE THREE RIVERS MEDICAL CENTER",380002,"7.3","2.1","4.2","1.8","41.3","4.4"
"ASCENSION CRITTENTON HOSPITAL",230254,"10.0","1.1","4.6","0.6","Not Available","12.7"
"ASHE MEMORIAL HOSPITAL",341325,"27.4","0.8","Not Available","Not Available","Not Available","2.9"
"ASHLAND HEALTH CENTER",171304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASHLEY COUNTY MEDICAL CENTER",41323,"20.5","17.3","1.4","Not Available","57.1","9.7"
"ASHLEY MEDICAL CENTER",351322,"Not Available","Not Available","Not Available","Not Available","Not Available","4.9"
"ASHLEY REGIONAL MEDICAL CENTER",460030,"3.5","0.0","2.8","Not Available","Not Available","11.1"
"ASHTABULA COUNTY MEDICAL CENTER",360125,"9.0","0.0","5.4","1.1","38.3","7.9"
"ASOCIACION HOSPITAL DEL MAESTRO, INC",400004,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPEN MOUNTAIN MEDICAL CENTER",530035,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPEN VALLEY HOSPITAL",61324,"4.3","0.0","5.4","0.0","Not Available","10.0"
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC",670093,"50.7","25.0","Not Available","0.0","50.8","Not Available"
"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",231318,"3.5","2.7","Not Available","0.6","Not Available","6.5"
"ASPIRUS IRONWOOD HOSPITAL",231333,"3.0","0.0","2.9","0.8","50.0","20.1"
"ASPIRUS KEWEENAW HOSPITAL",231319,"12.2","0.0","5.8","Not Available","Not Available","11.1"
"ASPIRUS LANGLADE HOSPITAL",521350,"6.2","0.6","1.3","0.6","Not Available","9.1"
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",521324,"7.5","0.8","Not Available","Not Available","Not Available","13.8"
"ASPIRUS ONTONAGON HOSPITAL, INC",231309,"6.5","1.6","Not Available","0.0","Not Available","11.5"
"ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC",520033,"1.0","0.0","4.8","0.9","Not Available","6.2"
"ASPIRUS WAUSAU HOSPITAL",520030,"4.9","0.0","3.7","0.0","29.5","9.0"
"ASSUMPTION COMMUNITY HOSPITAL",191303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ATCHISON HOSPITAL",171382,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ATHENS LIMESTONE HOSPITAL",10079,"27.2","0.3","4.3","2.6","43.5","8.4"
"ATHOL MEMORIAL HOSPITAL",221303,"2.9","0.0","Not Available","0.8","Not Available","13.2"
"ATLANTIC GENERAL HOSPITAL",210061,"10.3","2.5","1.6","4.3","37.5","7.8"
"ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS",310064,"2.7","0.2","6.1","1.9","Not Available","9.9"
"ATMORE COMMUNITY HOSPITAL",10169,"22.9","Not Available","5.9","Not Available","Not Available","13.5"
"ATOKA COUNTY MEDICAL CENTER",371300,"12.5","Not Available","Not Available","0.0","Not Available","Not Available"
"ATRIUM MEDICAL CENTER",360076,"7.8","1.9","4.0","1.3","50.0","5.1"
"AU MEDICAL CENTER",110034,"11.6","0.1","5.1","0.5","44.3","4.7"
"AUBURN  COMMUNITY  HOSPITAL",330235,"10.4","2.8","2.0","4.2","Not Available","11.2"
"AUDUBON COUNTY MEMORIAL HOSPITAL",161330,"0.0","Not Available","Not Available","Not Available","Not Available","8.0"
"AUGUSTA HEALTH",490018,"7.7","0.0","4.2","0.7","34.9","12.0"
"AULTMAN HOSPITAL",360084,"2.8","0.0","5.8","0.7","36.8","5.1"
"AULTMAN ORRVILLE HOSPITAL",361323,"17.1","Not Available","Not Available","Not Available","Not Available","7.7"
"AURELIA OSBORN FOX MEMORIAL HOSPITAL",330085,"6.5","0.0","4.5","1.7","45.0","4.4"
"AURORA BAYCARE MEDICAL CTR",520193,"11.6","0.2","4.3","0.0","37.7","5.3"
"AURORA LAKELAND MEDICAL CENTER",520102,"8.9","1.0","4.7","0.8","Not Available","7.0"
"AURORA MEDICAL CENTER",520206,"13.2","0.0","3.1","0.0","39.6","6.9"
"AURORA MEDICAL CENTER",520207,"8.5","0.3","3.5","0.3","Not Available","4.1"
"AURORA MEDICAL CTR KENOSHA",520189,"9.6","0.3","6.0","2.2","40.0","5.8"
"AURORA MEDICAL CTR MANITOWOC COUNTY",520034,"7.5","0.5","4.9","Not Available","Not Available","Not Available"
"AURORA MEDICAL CTR OSHKOSH",520198,"4.9","0.0","3.9","Not Available","Not Available","3.7"
"AURORA MEDICAL CTR WASHINGTON COUNTY",520038,"11.4","0.0","5.9","Not Available","Not Available","Not Available"
"AURORA MEMORIAL HOSPITAL BURLINGTON",520059,"4.8","0.9","5.2","1.2","37.3","6.4"
"AURORA SHEBOYGAN MEMORIAL MEDICAL CTR",520035,"2.9","1.4","Not Available","0.3","Not Available","Not Available"
"AURORA ST LUKES MEDICAL CENTER",520138,"7.2","0.2","4.3","1.5","23.4","9.9"
"AURORA WEST ALLIS MEDICAL CENTER",520139,"5.5","0.0","6.3","1.9","51.4","5.8"
"AUXILIO MUTUO HOSPITAL",400016,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVENTURA HOSPITAL AND MEDICAL CENTER",100131,"1.9","0.0","Not Available","Not Available","Not Available","4.4"
"AVERA CREIGHTON HOSPITAL",281331,"Not Available","Not Available","Not Available","0.0","Not Available","8.8"
"AVERA DE SMET MEMORIAL HOSPITAL - CAH",431332,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA DELLS AREA HOSPITAL  - CAH",431331,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA FLANDREAU HOSPITAL - CAH",431310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA GETTYSBURG HOSPITAL",431302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA GREGORY HOSPITAL",431338,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC",431337,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA HEART HOSPITAL OF SOUTH DAKOTA",430095,"Not Available","Not Available","2.7","0.0","Not Available","Not Available"
"AVERA HOLY FAMILY HOSPITAL",161351,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA MARSHALL REGIONAL MEDICAL CTR",241359,"4.4","0.0","Not Available","0.0","Not Available","8.7"
"AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER",430016,"12.8","0.1","7.9","0.9","26.6","8.7"
"AVERA QUEEN OF PEACE",430013,"7.4","2.6","Not Available","Not Available","35.1","6.1"
"AVERA SACRED HEART HOSPITAL",430012,"1.8","1.2","5.6","0.4","Not Available","9.6"
"AVERA ST ANTHONY'S HOSPITAL",281329,"11.6","3.1","1.3","0.0","Not Available","5.5"
"AVERA ST BENEDICT HEALTH CENTER - CAH",431330,"Not Available","Not Available","Not Available","0.0","Not Available","12.6"
"AVERA ST LUKES",430014,"6.9","0.2","4.9","Not Available","38.1","5.3"
"AVERA ST MARY'S HOSPITAL",430015,"14.3","5.7","3.8","Not Available","Not Available","3.6"
"AVERA TYLER HOSPITAL",241348,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH",431324,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVITA ONTARIO",360365,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AVOYELLES HOSPITAL",190099,"4.9","6.0","Not Available","Not Available","Not Available","9.9"
"BACON COUNTY HOSPITAL",111327,"9.9","2.9","Not Available","Not Available","51.5","8.7"
"BAILEY MEDICAL CENTER, LLC",370228,"7.3","0.0","6.8","0.0","52.5","7.8"
"BAKERSFIELD HEART HOSPITAL",50724,"2.2","0.0","Not Available","1.1","Not Available","Not Available"
"BAKERSFIELD MEMORIAL HOSPITAL",50036,"1.5","0.0","4.5","0.9","Not Available","Not Available"
"BALLINGER MEMORIAL HOSPITAL",451310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",30002,"19.6","0.0","5.7","Not Available","Not Available","10.2"
"BANNER BAYWOOD MEDICAL CENTER",30088,"2.4","0.2","10.8","1.0","Not Available","10.4"
"BANNER BOSWELL MEDICAL CENTER",30061,"3.1","0.6","Not Available","2.0","Not Available","5.2"
"BANNER CASA GRANDE MEDICAL CENTER",30016,"14.8","5.4","4.3","2.1","34.5","8.5"
"BANNER CHURCHILL COMMUNITY HOSPITAL",291313,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"BANNER DEL E. WEBB MEDICAL CENTER",30093,"3.4","3.3","4.5","0.8","Not Available","10.5"
"BANNER DESERT MEDICAL CENTER",30065,"1.6","1.1","Not Available","2.5","Not Available","Not Available"
"BANNER ESTRELLA MEDICAL CENTER",30115,"1.5","0.0","Not Available","1.5","Not Available","Not Available"
"BANNER FORT COLLINS MEDICAL CENTER",60126,"1.7","Not Available","Not Available","Not Available","Not Available","Not Available"
"BANNER GATEWAY MEDICAL CENTER",30122,"2.4","0.1","Not Available","1.2","Not Available","10.5"
"BANNER GOLDFIELD MEDICAL CENTER",30134,"0.4","0.0","Not Available","Not Available","Not Available","Not Available"
"BANNER HEART HOSPITAL",30105,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"BANNER IRONWOOD MEDICAL CENTER",30130,"1.3","0.7","Not Available","Not Available","Not Available","Not Available"
"BANNER LASSEN MEDICAL CENTER",51320,"2.3","1.8","Not Available","Not Available","Not Available","6.8"
"BANNER PAYSON MEDICAL CENTER",30033,"8.4","2.5","5.3","3.8","36.7","4.2"
"BANNER THUNDERBIRD MEDICAL CENTER",30089,"1.3","0.4","6.3","0.7","Not Available","6.8"
"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS",30111,"0.0","0.0","6.6","1.6","Not Available","Not Available"
"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",30064,"1.5","0.0","6.1","Not Available","47.3","3.3"
"BAPTIST BEAUMONT HOSPITAL",450346,"0.4","0.0","0.0","2.2","36.4","6.9"
"BAPTIST EASLEY HOSPITAL",420015,"4.2","0.3","2.6","0.0","45.3","12.5"
"BAPTIST EMERGENCY HOSPITAL",670078,"0.4","0.0","Not Available","Not Available","Not Available","Not Available"
"BAPTIST HEALTH CORBIN",180080,"6.4","3.8","2.6","2.6","38.6","6.4"
"BAPTIST HEALTH FLOYD",150044,"7.4","3.2","5.8","1.0","32.2","9.4"
"BAPTIST HEALTH LA GRANGE",180138,"0.6","0.0","6.9","1.1","Not Available","7.2"
"BAPTIST HEALTH LEXINGTON",180103,"7.3","2.8","5.5","1.4","31.8","9.4"
"BAPTIST HEALTH LOUISVILLE",180130,"3.6","0.0","4.0","1.0","41.1","6.1"
"BAPTIST HEALTH MADISONVILLE",180093,"3.1","0.8","3.3","1.9","43.1","Not Available"
"BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS",41312,"8.6","1.3","Not Available","0.4","65.7","4.8"
"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK",40036,"3.7","0.4","4.6","0.8","38.8","8.8"
"BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA",41321,"2.2","1.0","Not Available","0.6","63.0","6.8"
"BAPTIST HEALTH MEDICAL CENTER-CONWAY",40154,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY",40076,"6.6","2.4","Not Available","Not Available","48.5","11.5"
"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK",40114,"3.0","1.0","5.3","0.7","42.7","6.6"
"BAPTIST HEALTH MEDICAL CENTER-STUTTGART",40072,"1.2","0.0","Not Available","Not Available","60.3","8.4"
"BAPTIST HEALTH PADUCAH",180104,"12.1","3.8","6.1","2.1","39.1","7.7"
"BAPTIST HEALTH RICHMOND",180049,"5.1","1.2","9.0","1.8","45.3","8.7"
"BAPTIST HOSPITAL",100093,"19.8","3.3","5.6","1.5","34.6","8.9"
"BAPTIST HOSPITAL OF MIAMI",100008,"1.0","0.2","4.8","1.3","55.0","Not Available"
"BAPTIST MEDICAL CENTER",450058,"1.9","5.0","6.8","0.9","Not Available","Not Available"
"BAPTIST MEDICAL CENTER - ATTALA",251336,"3.5","1.5","Not Available","1.1","Not Available","10.2"
"BAPTIST MEDICAL CENTER - BEACHES",100117,"13.0","0.3","4.9","2.7","33.8","7.1"
"BAPTIST MEDICAL CENTER - NASSAU",100140,"5.8","1.0","7.4","2.1","53.2","8.0"
"BAPTIST MEDICAL CENTER EAST",10149,"6.3","0.3","Not Available","2.7","44.8","Not Available"
"BAPTIST MEDICAL CENTER JACKSONVILLE",100088,"9.0","0.4","4.9","1.8","36.8","9.1"
"BAPTIST MEDICAL CENTER SOUTH",10023,"4.1","0.4","0.0","1.9","40.0","5.8"
"BAPTIST MEDICAL CENTER YAZOO",251313,"5.3","10.2","Not Available","4.8","Not Available","12.0"
"BAPTIST MEDICAL CENTER-LEAKE",251315,"6.2","12.6","Not Available","1.5","Not Available","14.2"
"BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC",250100,"17.8","0.3","1.8","1.1","42.1","3.8"
