"","Provider.ID","Hospital.name","PAYM_30_AMI","PAYM_30_HF","PAYM_30_PN","PAYM_90_HIP_KNEE"
"46",10089,"WALKER BAPTIST MEDICAL CENTER","$24,201","$15,779","$15,862","$21,506"
"47",10090,"PROVIDENCE HOSPITAL","$24,776","$14,836","$16,318","$22,906"
"48",10091,"GROVE HILL MEMORIAL HOSPITAL","Not Available","$16,043","$14,967","Not Available"
"49",10092,"D C H REGIONAL MEDICAL CENTER","$23,240","$16,352","$16,608","$24,909"
"50",10095,"HALE COUNTY HOSPITAL","Not Available","Not Available","$16,744","Not Available"
"51",10097,"ELMORE COMMUNITY HOSPITAL","Not Available","$14,875","$14,705","Not Available"
"52",10099,"D W MCMILLAN MEMORIAL HOSPITAL","$23,097","$15,391","$16,120","Not Available"
"53",10100,"THOMAS HOSPITAL","$22,501","$16,517","$16,117","$20,178"
"54",10101,"CITIZENS BAPTIST MEDICAL CENTER","Not Available","$14,951","$17,445","Not Available"
"55",10102,"J PAUL JONES HOSPITAL","Not Available","Not Available","$14,309","Not Available"
"56",10103,"PRINCETON BAPTIST MEDICAL CENTER","$23,706","$16,982","$17,605","$24,552"
"57",10104,"GRANDVIEW MEDICAL CENTER","$20,624","$16,908","$19,086","$20,921"
"58",10108,"PRATTVILLE BAPTIST HOSPITAL","$26,452","$14,785","$16,714","Not Available"
"59",10109,"PICKENS COUNTY MEDICAL CENTER","Not Available","$14,169","$14,333","Not Available"
"60",10110,"BULLOCK COUNTY HOSPITAL","Not Available","Not Available","$14,452","Not Available"
"61",10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","Not Available","$15,298","$15,987","Not Available"
"62",10113,"MOBILE INFIRMARY MEDICAL CENTER","$22,833","$16,884","$17,401","$22,943"
"63",10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","$21,844","$15,521","$17,354","$23,351"
"64",10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","$23,872","$14,843","$16,052","Not Available"
"65",10120,"MONROE COUNTY HOSPITAL","Not Available","$14,264","$16,158","Not Available"
"66",10125,"LAKELAND COMMUNITY HOSPITAL","Not Available","$14,662","$13,412","Not Available"
"67",10126,"TROY REGIONAL MEDICAL CENTER","Not Available","$14,702","$16,012","Not Available"
"68",10128,"JACKSON MEDICAL CENTER","Not Available","$15,878","$13,763","Not Available"
"69",10129,"NORTH BALDWIN INFIRMARY","Not Available","$13,243","$14,599","Not Available"
"70",10130,"ST VINCENT'S ST CLAIR","Not Available","$14,745","$13,871","Not Available"
"71",10131,"CRESTWOOD MEDICAL CENTER","$20,001","$15,431","$15,250","$22,499"
"72",10138,"HILL HOSPITAL OF SUMTER COUNTY","Not Available","Not Available","Not Available","Not Available"
"73",10139,"BROOKWOOD BAPTIST MEDICAL CENTER","$23,057","$15,513","$16,721","$21,689"
"74",10144,"SPRINGHILL MEMORIAL HOSPITAL","$21,688","$16,564","$17,214","$23,242"
"75",10146,"RMC JACKSONVILLE","Not Available","$16,129","$16,142","Not Available"
"76",10148,"EVERGREEN MEDICAL CENTER","Not Available","$13,339","$15,559","Not Available"
"77",10149,"BAPTIST MEDICAL CENTER EAST","$24,982","$15,315","$15,871","Not Available"
"78",10150,"L V STABLER MEMORIAL HOSPITAL","Not Available","$14,650","$16,483","$20,139"
"79",10157,"SHOALS HOSPITAL","Not Available","$15,372","$15,129","$25,445"
"80",10158,"RUSSELLVILLE HOSPITAL","Not Available","$14,921","$15,006","$22,916"
"81",10164,"COOSA VALLEY MEDICAL CENTER","$22,460","$16,530","$15,803","$25,472"
"82",10168,"JACK HUGHSTON MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","$21,235"
"83",10169,"ATMORE COMMUNITY HOSPITAL","Not Available","$14,613","$16,419","Not Available"
"84",10172,"NORTH ALABAMA SPECIALITY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"85",10173,"ST VINCENT'S CHILTON","Not Available","Not Available","Not Available","Not Available"
"86",11300,"WASHINGTON COUNTY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"87",11302,"RED BAY HOSPITAL","Not Available","Not Available","$18,229","Not Available"
"88",11304,"CHOCTAW GENERAL HOSPITAL","Not Available","Not Available","$16,652","Not Available"
"89",11305,"ST VINCENTS BLOUNT","Not Available","$18,900","$18,839","Not Available"
"90",13300,"CHILDREN'S HOSPITAL OF ALABAMA","Not Available","Not Available","Not Available","Not Available"
"91",13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","Not Available","Not Available","Not Available","Not Available"
"92",20001,"PROVIDENCE ALASKA MEDICAL CENTER","$23,995","$14,785","$13,900","$19,359"
"93",20006,"MAT-SU REGIONAL MEDICAL CENTER","$21,051","$13,508","$13,829","$18,385"
"94",20008,"BARTLETT REGIONAL HOSPITAL","Not Available","$15,919","$12,951","$17,638"
"95",20012,"FAIRBANKS MEMORIAL HOSPITAL","$24,985","$12,490","$13,690","$17,067"
"96",20017,"ALASKA REGIONAL HOSPITAL","$23,295","$15,901","$17,218","$18,234"
"97",20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","Not Available","$14,775","$11,768","Not Available"
"98",20024,"CENTRAL PENINSULA GENERAL HOSPITAL","Not Available","$13,922","$15,056","$19,910"
"99",20026,"ALASKA NATIVE MEDICAL CENTER","$23,754","$13,472","$13,909","$17,708"
"100",21301,"PROVIDENCE VALDEZ MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"101",21302,"PROVIDENCE SEWARD HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"102",21303,"SITKA COMMUNITY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"103",21304,"PETERSBURG MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"104",21305,"WRANGELL MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"105",21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR","Not Available","Not Available","$18,395","Not Available"
"106",21307,"CORDOVA COMMUNITY MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"107",21308,"NORTON SOUND REGIONAL HOSPITAL","Not Available","Not Available","$14,316","Not Available"
"108",21309,"KANAKANAK HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"109",21310,"MANIILAQ HEALTH CENTER","Not Available","Not Available","Not Available","Not Available"
"110",21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","Not Available","Not Available","$12,766","$19,825"
"111",21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"112",21313,"SOUTH PENINSULA HOSPITAL","Not Available","Not Available","$14,735","Not Available"
"113",21314,"MT EDGECUMBE HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"114",30001,"ABRAZO MARYVALE CAMPUS","Not Available","Not Available","$17,218","Not Available"
"115",30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","$25,476","$19,760","$19,796","$20,534"
"116",30006,"TUCSON MEDICAL CENTER","$23,406","$17,492","$19,879","$19,827"
"117",30007,"VERDE VALLEY MEDICAL CENTER","$22,531","$16,694","$17,708","$19,408"
"118",30010,"ST. MARY'S HOSPITAL","$22,640","$15,095","$16,958","$23,255"
"119",30011,"ST JOSEPH'S HOSPITAL","$22,619","$17,014","$18,273","$22,120"
"120",30012,"YAVAPAI REGIONAL MEDICAL CENTER","$23,927","$17,186","$16,506","$22,655"
"121",30013,"YUMA REGIONAL MEDICAL CENTER","$23,744","$16,835","$17,981","$23,056"
"122",30014,"JOHN C. LINCOLN MEDICAL CENTER","$23,817","$18,206","$19,632","$24,317"
"123",30016,"BANNER CASA GRANDE MEDICAL CENTER","$24,380","$17,929","$17,868","$22,480"
"124",30022,"MARICOPA MEDICAL CENTER","Not Available","$16,002","$16,314","Not Available"
"125",30023,"FLAGSTAFF MEDICAL CENTER","$23,174","$16,297","$16,659","$18,758"
"126",30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","$25,976","$16,767","$18,982","$22,392"
"127",30030,"ABRAZO CENTRAL CAMPUS","$25,126","$18,070","$17,827","$22,641"
"128",30033,"BANNER PAYSON MEDICAL CENTER","$23,683","$16,714","$18,562","$21,404"
"129",30036,"CHANDLER REGIONAL MEDICAL CENTER","$23,039","$18,108","$18,565","$20,383"
"130",30037,"ST LUKE'S MEDICAL CENTER","$26,197","$18,034","$20,390","$20,006"
"131",30038,"SCOTTSDALE OSBORN MEDICAL CENTER","$23,919","$16,869","$17,686","$19,894"
"132",30043,"CANYON VISTA MEDICAL CENTER","$21,526","$15,744","$17,282","$22,381"
"133",30055,"KINGMAN REGIONAL MEDICAL CENTER","$25,006","$15,500","$14,696","$21,751"
"134",30061,"BANNER BOSWELL MEDICAL CENTER","$22,246","$16,731","$17,829","$19,591"
"135",30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","$25,856","$14,772","$17,179","$20,878"
"136",30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","$22,977","$15,271","$16,892","$19,526"
"137",30065,"BANNER DESERT MEDICAL CENTER","$23,452","$18,270","$18,926","$20,624"
"138",30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","Not Available","Not Available","$15,686","$19,351"
"139",30069,"HAVASU REGIONAL MEDICAL CENTER","$21,926","$14,754","$15,564","$18,882"
"140",30071,"FORT DEFIANCE INDIAN HOSPITAL","Not Available","Not Available","$11,312","Not Available"
"141",30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","Not Available","$13,139","$12,186","$17,689"
"142",30074,"SELLS HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"143",30077,"SAN CARLOS APACHE HEALTHCARE","Not Available","Not Available","Not Available","Not Available"
"144",30078,"PHOENIX INDIAN MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"145",30083,"ABRAZO SCOTTSDALE CAMPUS","$24,602","$16,588","$17,580","$23,581"
"146",30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","Not Available","Not Available","$10,778","Not Available"
"147",30085,"NORTHWEST MEDICAL CENTER","$20,490","$17,056","$17,473","$20,024"
"148",30087,"SCOTTSDALE SHEA MEDICAL CENTER","$23,053","$18,810","$17,577","$22,888"
"149",30088,"BANNER BAYWOOD MEDICAL CENTER","$22,676","$18,311","$17,715","$22,347"
"150",30089,"BANNER THUNDERBIRD MEDICAL CENTER","$22,790","$17,759","$18,978","$20,030"
"151",30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER","$24,304","$18,852","$19,003","$22,310"
"152",30093,"BANNER DEL E. WEBB MEDICAL CENTER","$21,985","$15,990","$18,559","$19,623"
"153",30094,"ABRAZO ARROWHEAD CAMPUS","$25,535","$18,578","$17,288","$21,542"
"154",30101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER","$25,780","$15,439","$15,904","$18,127"
"155",30103,"MAYO CLINIC HOSPITAL","$19,890","$15,815","$16,483","$20,244"
"156",30105,"BANNER HEART HOSPITAL","$22,789","$18,220","$17,580","Not Available"
"157",30107,"ARIZONA SPINE AND JOINT HOSPITAL","Not Available","Not Available","Not Available","$20,456"
"158",30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","Not Available","Not Available","Not Available","$19,174"
"159",30110,"ABRAZO WEST CAMPUS","$24,542","$17,492","$17,815","Not Available"
"160",30111,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","$23,965","$16,776","$17,414","Not Available"
"161",30112,"ARIZONA SPECIALTY HOSPITAL","Not Available","Not Available","Not Available","$24,145"
"162",30113,"WHITERIVER PHS INDIAN HOSPITAL","Not Available","Not Available","$14,989","Not Available"
"163",30114,"ORO VALLEY HOSPITAL","$23,014","$14,322","$15,579","$18,710"
"164",30115,"BANNER ESTRELLA MEDICAL CENTER","$21,983","$14,997","$17,435","$19,398"
"165",30117,"VALLEY VIEW MEDICAL CENTER","$19,971","$15,419","$17,440","$17,171"
"166",30119,"MERCY GILBERT MEDICAL CENTER","$23,393","$19,265","$18,895","$20,891"
"167",30120,"GILBERT HOSPITAL","Not Available","Not Available","$19,775","Not Available"
"168",30121,"MOUNTAIN VISTA MEDICAL CENTER, LP","$25,803","$19,376","$21,487","$22,036"
"169",30122,"BANNER GATEWAY MEDICAL CENTER","$24,573","$16,279","$16,717","$21,171"
"170",30123,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","$23,105","$18,267","$17,413","$19,909"
"171",30130,"BANNER IRONWOOD MEDICAL CENTER","Not Available","$15,370","$17,861","$24,121"
"172",30131,"O.A.S.I.S. HOSPITAL","Not Available","Not Available","Not Available","$22,265"
"173",30132,"FLORENCE HOSPITAL AT ANTHEM, LLC","Not Available","Not Available","$18,879","Not Available"
"174",30134,"BANNER GOLDFIELD MEDICAL CENTER","Not Available","Not Available","$15,834","Not Available"
"175",30136,"DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"176",30137,"GREEN VALLEY HOSPITAL","Not Available","$15,167","$16,853","Not Available"
"177",31300,"WICKENBURG COMMUNITY HOSPITAL","Not Available","Not Available","$19,144","Not Available"
"178",31301,"BENSON HOSPITAL","Not Available","Not Available","$12,430","Not Available"
"179",31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.","Not Available","Not Available","$15,212","Not Available"
"180",31304,"PAGE HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"181",31305,"HOPI HEALTH CARE CENTER","Not Available","Not Available","$12,470","Not Available"
"182",31307,"PARKER INDIAN HEALTH CENTER","Not Available","Not Available","Not Available","Not Available"
"183",31308,"HUHU KAM MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"184",31309,"SAGE MEMORIAL HOSPITAL","Not Available","Not Available","$14,790","Not Available"
"185",31311,"LITTLE COLORADO MEDICAL CENTER","Not Available","Not Available","$12,855","Not Available"
"186",31312,"COPPER QUEEN COMMUNITY HOSPITAL","Not Available","Not Available","$15,950","Not Available"
"187",31313,"HOLY CROSS HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"188",31314,"COBRE VALLEY REGIONAL MEDICAL CENTER","$22,726","$14,665","$14,236","$22,964"
"189",31315,"WHITE MOUNTAIN REGIONAL MEDICAL CENTER","Not Available","Not Available","$14,403","Not Available"
"190",31317,"LA PAZ REGIONAL HOSPITAL","$22,733","$15,850","$15,551","$22,928"
"191",33301,"LOS NINOS HOSPITAL, INC.","Not Available","Not Available","Not Available","Not Available"
"192",33302,"PHOENIX CHILDREN'S HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"193",33303,"HACIENDA CHILDREN'S HOSPITAL, INC.","Not Available","Not Available","Not Available","Not Available"
"194",40001,"SILOAM SPRINGS REGIONAL HOSPITAL","Not Available","$15,945","$17,549","$21,673"
"195",40002,"JOHNSON REGIONAL MEDICAL CENTER","Not Available","$14,436","$13,489","$24,375"
"196",40004,"WASHINGTON REGIONAL MEDICAL CENTER","$23,585","$17,371","$18,258","$20,944"
"197",40007,"CHI-ST VINCENT INFIRMARY","$25,027","$17,389","$18,638","$17,516"
"198",40010,"MERCY HOSPITAL NORTHWEST ARKANSAS","$23,320","$16,039","$17,976","$20,295"
"199",40011,"CHAMBERS MEMORIAL HOSPITAL","$23,562","$15,790","$15,138","Not Available"
"200",40014,"WHITE COUNTY MEDICAL CENTER","$21,294","$15,935","$17,054","$21,066"
"201",40015,"MENA REGIONAL HEALTH SYSTEM","Not Available","$15,539","$15,615","Not Available"
"202",40016,"UAMS MEDICAL CENTER","$22,534","$15,868","$17,495","$17,399"
"203",40017,"NORTH ARKANSAS REGIONAL MEDICAL CENTER","$24,310","$15,070","$15,696","$21,331"
"204",40018,"SPARKS MEDICAL CENTER - VAN BUREN","Not Available","$16,141","$15,052","Not Available"
"205",40019,"FORREST CITY MEDICAL CENTER","Not Available","$14,499","$15,943","Not Available"
"206",40020,"ST BERNARDS MEDICAL CENTER","$26,210","$18,797","$18,010","$22,383"
"207",40022,"NORTHWEST MEDICAL CENTER-SPRINGDALE","$24,314","$17,242","$16,020","$22,623"
"208",40026,"CHI ST. VINCENT HOSPITAL HOT SPRINGS","$19,988","$15,936","$16,198","$22,857"
"209",40027,"BAXTER REGIONAL MEDICAL CENTER","$24,811","$14,718","$16,947","$21,705"
"210",40029,"CONWAY REGIONAL MEDICAL CENTER","$19,675","$16,100","$16,747","$24,561"
"211",40036,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","$24,098","$17,596","$17,483","$21,345"
"212",40039,"ARKANSAS METHODIST MEDICAL CENTER","$24,282","$15,174","$16,519","$25,305"
"213",40041,"ST MARYS REGIONAL MEDICAL CENTER","$23,266","$16,525","$17,205","$22,247"
"214",40047,"FIVE RIVERS MEDICAL CENTER","Not Available","$14,998","$17,507","Not Available"
"215",40050,"OUACHITA COUNTY MEDICAL CENTER","Not Available","$15,935","$15,461","$24,268"
"216",40051,"DREW MEMORIAL HOSPITAL","Not Available","$15,802","$16,070","Not Available"
"217",40055,"SPARKS REGIONAL MEDICAL CENTER","$24,014","$16,883","$18,871","$25,037"
"218",40062,"MERCY HOSPITAL FORT SMITH","$23,192","$17,202","$18,942","$23,418"
"219",40067,"MAGNOLIA HOSPITAL","Not Available","$14,500","$16,727","Not Available"
"220",40069,"GREAT RIVER MEDICAL CENTER","Not Available","$16,760","$15,170","Not Available"
"221",40071,"JEFFERSON REGIONAL MEDICAL CENTER","$22,834","$16,021","$16,791","$24,616"
"222",40072,"BAPTIST HEALTH MEDICAL CENTER-STUTTGART","Not Available","$13,793","$16,396","Not Available"
"223",40074,"NORTH METRO MEDICAL CENTER","Not Available","$17,219","$19,357","Not Available"
"224",40076,"BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","Not Available","$16,236","$15,482","Not Available"
"225",40078,"NATIONAL PARK MEDICAL CENTER","$23,120","$16,643","$19,137","$27,304"
"226",40084,"SALINE MEMORIAL HOSPITAL","$22,305","$15,561","$15,514","$23,402"
"227",40085,"HELENA REGIONAL MEDICAL CENTER","Not Available","$14,371","$14,442","Not Available"
"228",40088,"MEDICAL CENTER SOUTH ARKANSAS","$24,272","$16,047","$17,253","$25,580"
"229",40114,"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","$22,477","$16,865","$17,451","$20,147"
"230",40118,"NEA BAPTIST MEMORIAL HOSPITAL","$22,694","$15,743","$17,061","$23,197"
"231",40119,"WHITE RIVER MEDICAL CENTER","$24,867","$16,968","$17,258","$19,330"
"232",40132,"LEVI HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"233",40134,"ARKANSAS HEART HOSPITAL, LLC","$23,381","$16,031","$16,634","Not Available"
"234",40137,"ST VINCENT MEDICAL CENTER/NORTH","Not Available","$18,104","$18,475","Not Available"
"235",40147,"ARKANSAS SURGICAL HOSPITAL","Not Available","Not Available","Not Available","$20,649"
"236",40152,"NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL","Not Available","Not Available","Not Available","$23,617"
"237",40153,"WADLEY REGIONAL MEDICAL CENTER AT HOPE","Not Available","$16,598","$17,393","Not Available"
"238",40154,"BAPTIST HEALTH MEDICAL CENTER-CONWAY","Not Available","Not Available","Not Available","Not Available"
"239",41300,"NORTH LOGAN MERCY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"240",41302,"RIVER VALLEY MEDICAL CENTER","Not Available","Not Available","$19,604","Not Available"
"241",41303,"MERCY HOSPITAL TURNER MEMORIAL","Not Available","Not Available","$14,514","Not Available"
"242",41304,"EUREKA SPRINGS HOSPITAL, LLC","Not Available","Not Available","$17,641","Not Available"
"243",41305,"MERCY HOSPITAL WALDRON","Not Available","$15,772","$16,529","Not Available"
"244",41306,"IZARD COUNTY MEDICAL CENTER, LLC","Not Available","$16,182","$13,710","Not Available"
"245",41307,"CROSSRIDGE COMMUNITY HOSPITAL","Not Available","$15,483","$14,543","Not Available"
"246",41308,"MCGEHEE HOSPITAL","Not Available","Not Available","$16,954","Not Available"
"247",41309,"LAWRENCE MEMORIAL HOSPITAL","Not Available","$16,565","$16,033","Not Available"
"248",41310,"STONE COUNTY MEDICAL CENTER","Not Available","$14,659","$15,456","$20,454"
"249",41311,"HOWARD MEMORIAL HOSPITAL","Not Available","$15,454","$16,916","Not Available"
"250",41312,"BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS","Not Available","$17,708","$16,465","$20,041"
"251",41313,"OZARK HEALTH","Not Available","$14,359","$16,396","$20,329"
"252",41314,"DEWITT HOSPITAL & NURSING HOME, INC","Not Available","$13,698","$14,141","Not Available"
"253",41316,"SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER","Not Available","$17,286","$17,487","Not Available"
"254",41317,"DALLAS COUNTY MEDICAL CENTER","Not Available","Not Available","$14,633","Not Available"
"255",41318,"MERCY HOSPITAL BOONEVILLE","Not Available","Not Available","$21,129","Not Available"
"256",41319,"DE QUEEN MEDICAL CENTER, INC","Not Available","$18,040","$17,545","Not Available"
"257",41320,"LITTLE RIVER MEMORIAL HOSPITAL","Not Available","Not Available","$17,477","Not Available"
"258",41321,"BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA","Not Available","$15,801","$15,953","Not Available"
"259",41322,"FULTON COUNTY HOSPITAL","Not Available","$15,449","$16,156","Not Available"
"260",41323,"ASHLEY COUNTY MEDICAL CENTER","Not Available","$15,730","$17,855","Not Available"
"261",41324,"CHI ST VINCENT MORRILTON","Not Available","$14,947","$15,921","Not Available"
"262",41326,"DELTA MEMORIAL HOSPITAL","Not Available","Not Available","$13,187","Not Available"
"263",41327,"BRADLEY COUNTY MEDICAL CENTER","Not Available","$15,035","$15,988","Not Available"
"264",41328,"CHICOT MEMORIAL MEDICAL CENTER","$24,771","$17,731","$15,348","Not Available"
"265",41329,"MERCY HOSPITAL BERRYVILLE","Not Available","$14,434","$15,889","Not Available"
"266",41330,"PIGGOTT COMMUNITY HOSPITAL","Not Available","$16,488","$17,725","Not Available"
"267",41331,"OZARKS COMMUNITY HOSPITAL OF GRAVETTE","Not Available","Not Available","$18,222","Not Available"
"268",43300,"ARKANSAS CHILDREN'S HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"269",50002,"ST ROSE HOSPITAL","$26,700","$17,336","$18,713","$26,300"
"270",50006,"ST JOSEPH HOSPITAL","$19,320","$14,683","$16,548","$18,889"
"271",50007,"MILLS-PENINSULA MEDICAL CENTER","$21,809","$15,349","$15,102","$20,575"
"272",50008,"CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","Not Available","$15,431","$16,216","Not Available"
"273",50009,"QUEEN OF THE VALLEY MEDICAL CENTER","$21,044","$15,877","$15,471","$18,943"
"274",50013,"ST HELENA HOSPITAL","$25,476","$17,559","$18,133","$16,939"
"275",50014,"SUTTER AMADOR HOSPITAL","$23,869","$18,265","$16,612","$19,118"
"276",50017,"MERCY GENERAL HOSPITAL","$24,638","$17,099","$16,344","$22,078"
"277",50018,"PACIFIC ALLIANCE MEDICAL CENTER","Not Available","$15,796","$20,183","Not Available"
"278",50022,"RIVERSIDE COMMUNITY HOSPITAL","$25,277","$17,801","$17,904","$23,420"
"279",50024,"PARADISE VALLEY HOSPITAL","$23,488","$16,479","$21,674","$27,488"
