Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"390150","WASHINGTON HEALTH SYSTEM GREENE","350 BONAR AVENUE","WAYNESBURG","PA","15370","Greene","55.27","78.52","86.68","79.77","82.51","5 out of 10","3 out of 9","5 out of 10","57.39","80.44","88.51","80.47","83.67","4 out of 10","3 out of 9","4 out of 10","38.40","65.08","80.35","62.90","64.22","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","45.56","45.50","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","66.83","63.98","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","69.20","68.76","3 out of 10","0 out of 9","3 out of 10","62.25","86.60","91.63","83.72","84.14","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","62.89","66.89","0 out of 10","1 out of 9","1 out of 10","14","15"
"200001","ST JOSEPH HOSPITAL","360 BROADWAY","BANGOR","ME","04401","Penobscot","55.27","78.52","86.68","80.62","84.96","8 out of 10","7 out of 9","8 out of 10","57.39","80.44","88.51","83.76","83.39","4 out of 10","0 out of 9","4 out of 10","38.40","65.08","80.35","68.22","72.08","5 out of 10","3 out of 9","5 out of 10","25.21","51.45","62.44","61.69","59.73","7 out of 10","0 out of 9","7 out of 10","43.43","63.37","73.66","70.30","69.86","6 out of 10","0 out of 9","6 out of 10","40.05","65.60","79.00","66.43","67.86","2 out of 10","1 out of 9","2 out of 10","62.25","86.60","91.63","89.27","91.38","9 out of 10","8 out of 9","9 out of 10","37.67","70.23","84.58","78.99","80.74","7 out of 10","3 out of 9","7 out of 10","48","20"
"450101","HILLCREST BAPTIST MEDICAL CENTER","100 HILLCREST MEDICAL BLVD","WACO","TX","76712","McLennan","55.27","78.52","86.68","74.83","79.55","2 out of 10","3 out of 9","3 out of 10","57.39","80.44","88.51","80.95","83.11","3 out of 10","2 out of 9","3 out of 10","38.40","65.08","80.35","57.99","61.91","0 out of 10","1 out of 9","1 out of 10","25.21","51.45","62.44","50.29","51.57","1 out of 10","1 out of 9","1 out of 10","43.43","63.37","73.66","61.87","65.40","2 out of 10","2 out of 9","2 out of 10","40.05","65.60","79.00","67.70","68.13","2 out of 10","0 out of 9","2 out of 10","62.25","86.60","91.63","84.38","87.00","1 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","71.54","74.56","3 out of 10","2 out of 9","3 out of 10","18","17"
"240020","CAMBRIDGE MEDICAL CENTER","701 SOUTH DELLWOOD AVENUE","CAMBRIDGE","MN","55008","Isanti","55.27","78.52","86.68","81.30","84.13","7 out of 10","5 out of 9","7 out of 10","57.39","80.44","88.51","84.40","84.91","5 out of 10","1 out of 9","5 out of 10","38.40","65.08","80.35","77.78","77.65","8 out of 10","0 out of 9","8 out of 10","25.21","51.45","62.44","57.21","58.87","7 out of 10","3 out of 9","7 out of 10","43.43","63.37","73.66","67.04","70.11","6 out of 10","4 out of 9","6 out of 10","40.05","65.60","79.00","71.86","72.60","5 out of 10","1 out of 9","5 out of 10","62.25","86.60","91.63","90.16","91.22","9 out of 10","7 out of 9","9 out of 10","37.67","70.23","84.58","72.33","76.42","4 out of 10","3 out of 9","4 out of 10","51","20"
"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","VALPARAISO","IN","46383","Porter","55.27","78.52","86.68","77.20","77.15","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","77.25","75.97","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","61.45","58.04","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","51.47","51.00","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","59.43","59.15","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","66.46","63.22","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.88","88.96","5 out of 10","5 out of 9","5 out of 10","37.67","70.23","84.58","70.66","71.43","1 out of 10","0 out of 9","1 out of 10","6","14"
"060003","LONGMONT UNITED HOSPITAL","1950 MOUNTAIN VIEW AVENUE","LONGMONT","CO","80501","Boulder","55.27","78.52","86.68","77.99","83.37","6 out of 10","6 out of 9","6 out of 10","57.39","80.44","88.51","76.08","77.18","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","67.81","70.46","4 out of 10","2 out of 9","4 out of 10","25.21","51.45","62.44","55.73","55.49","4 out of 10","0 out of 9","4 out of 10","43.43","63.37","73.66","66.36","65.59","2 out of 10","0 out of 9","2 out of 10","40.05","65.60","79.00","68.61","72.66","5 out of 10","3 out of 9","5 out of 10","62.25","86.60","91.63","90.81","87.92","3 out of 10","0 out of 9","3 out of 10","37.67","70.23","84.58","74.16","76.06","4 out of 10","1 out of 9","4 out of 10","28","17"
"330065","NIAGARA FALLS MEMORIAL MEDICAL CENTER","621 TENTH STREET","NIAGARA FALLS","NY","14302","Niagara","55.27","78.52","86.68","68.17","68.58","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","71.54","73.01","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","55.87","56.85","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","40.02","41.14","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","54.60","49.70","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","55.43","54.32","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","81.88","83.37","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","50.74","53.17","0 out of 10","0 out of 9","0 out of 10","1","6"
"450372","BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","2400 N INTERSTATE HIGHWAY 35E","WAXAHACHIE","TX","75165","Ellis","55.27","78.52","86.68","83.14","83.34","6 out of 10","0 out of 9","6 out of 10","57.39","80.44","88.51","80.95","79.82","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","68.22","65.33","1 out of 10","0 out of 9","1 out of 10","25.21","51.45","62.44","54.78","56.75","5 out of 10","2 out of 9","5 out of 10","43.43","63.37","73.66","66.91","68.38","5 out of 10","2 out of 9","5 out of 10","40.05","65.60","79.00","71.28","78.55","9 out of 10","9 out of 9","9 out of 10","62.25","86.60","91.63","86.98","87.80","3 out of 10","1 out of 9","3 out of 10","37.67","70.23","84.58","72.51","80.32","7 out of 10","6 out of 9","7 out of 10","36","19"
"050678","ORANGE COAST MEMORIAL MEDICAL CENTER","9920 TALBERT AVENUE","FOUNTAIN VALLEY","CA","92708","Orange","55.27","78.52","86.68","77.49","76.29","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","78.34","77.67","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","63.44","63.98","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","51.50","52.29","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","62.05","62.74","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","64.22","61.12","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.16","86.97","1 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","72.65","73.34","2 out of 10","0 out of 9","2 out of 10","5","16"
"110025","SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS","2415 PARKWOOD DRIVE","BRUNSWICK","GA","31520","Glynn","55.27","78.52","86.68","80.14","79.00","1 out of 10","0 out of 9","1 out of 10","57.39","80.44","88.51","82.06","82.44","3 out of 10","0 out of 9","3 out of 10","38.40","65.08","80.35","63.54","61.41","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","52.68","51.72","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","64.45","63.06","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","68.78","69.93","3 out of 10","1 out of 9","3 out of 10","62.25","86.60","91.63","85.23","86.38","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","68.76","66.21","0 out of 10","0 out of 9","0 out of 10","9","17"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","Autauga","55.27","78.52","86.68","81.84","81.00","3 out of 10","0 out of 9","3 out of 10","57.39","80.44","88.51","85.55","83.09","3 out of 10","0 out of 9","3 out of 10","38.40","65.08","80.35","63.85","66.09","1 out of 10","1 out of 9","1 out of 10","25.21","51.45","62.44","55.81","51.66","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","67.67","66.26","3 out of 10","0 out of 9","3 out of 10","40.05","65.60","79.00","73.59","74.80","7 out of 10","2 out of 9","7 out of 10","62.25","86.60","91.63","90.23","89.36","5 out of 10","0 out of 9","5 out of 10","37.67","70.23","84.58","75.19","74.57","3 out of 10","0 out of 9","3 out of 10","26","20"
"050765","KAISER FOUNDATION HOSPITAL-MORENO VALLEY","27300 IRIS AVENUE","MORENO VALLEY","CA","92555","Riverside","55.27","78.52","86.68","75.22","75.12","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","83.27","81.65","2 out of 10","0 out of 9","2 out of 10","38.40","65.08","80.35","64.85","59.31","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","54.29","51.21","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","63.04","61.92","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","58.92","58.52","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.41","84.84","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","71.36","72.66","2 out of 10","0 out of 9","2 out of 10","4","14"
"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","MIAMI","FL","33175","Miami-Dade","55.27","78.52","86.68","73.98","75.62","0 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","77.79","78.69","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","59.20","60.07","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","35.03","38.80","0 out of 10","1 out of 9","1 out of 10","43.43","63.37","73.66","60.64","62.72","0 out of 10","1 out of 9","1 out of 10","40.05","65.60","79.00","61.84","61.49","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","79.12","77.76","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","57.40","62.91","0 out of 10","2 out of 9","2 out of 10","5","10"
"290053","ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","LAS VEGAS","NV","89113","Clark","55.27","78.52","86.68","73.81","74.72","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","72.66","73.72","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","60.12","60.59","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","52.21","50.32","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","64.99","63.49","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","67.96","67.72","2 out of 10","0 out of 9","2 out of 10","62.25","86.60","91.63","85.88","85.34","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","74.79","77.48","5 out of 10","2 out of 9","5 out of 10","8","14"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","DECATUR","GA","30033","DeKalb","55.27","78.52","86.68","71.98","70.88","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","78.09","76.32","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","55.87","49.84","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","44.38","43.94","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","57.86","56.06","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","62.52","61.14","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","79.33","81.88","0 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","62.29","64.51","0 out of 10","0 out of 9","0 out of 10","2","8"
"330221","WYCKOFF HEIGHTS MEDICAL CENTER","374 STOCKHOLM STREET","BROOKLYN","NY","11237","Kings","55.27","78.52","86.68","66.63","69.28","0 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","73.31","70.43","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","48.61","46.09","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","42.18","43.27","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","53.42","47.66","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","57.36","58.99","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","74.02","77.22","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","46.67","49.37","0 out of 10","0 out of 9","0 out of 10","2","4"
"330096","JONES MEMORIAL HOSPITAL","191 NORTH MAIN STREET","WELLSVILLE","NY","14895","Allegany","55.27","78.52","86.68","81.33","76.21","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","81.90","78.22","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","64.87","63.06","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","49.06","44.63","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","65.15","63.27","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","65.75","59.34","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","86.11","84.03","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","67.91","63.14","0 out of 10","0 out of 9","0 out of 10","0","14"
"310040","CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","HOBOKEN","NJ","07030","Hudson","55.27","78.52","86.68","71.63","74.34","0 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","81.06","76.00","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","60.67","62.48","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","34.88","49.11","0 out of 10","5 out of 9","5 out of 10","43.43","63.37","73.66","56.43","57.42","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","54.14","61.96","0 out of 10","3 out of 9","3 out of 10","62.25","86.60","91.63","83.83","84.77","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","58.52","62.22","0 out of 10","1 out of 9","1 out of 10","11","14"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","ELIZABETH","NJ","07207","Union","55.27","78.52","86.68","69.38","69.58","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","75.83","74.54","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","52.09","49.51","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","33.33","33.88","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","54.72","51.07","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","58.86","58.87","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","80.40","80.67","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","54.74","56.00","0 out of 10","0 out of 9","0 out of 10","0","6"
