"HOSPITAL_NAME","PROVIDER_ID","STATE","FISCAL_YEAR","DOMAIN_1_SCORE","DOMAIN_1_FOOTNOTE","DOMAIN_1_START_DATE","DOMAIN_1_END_DATE","PSI_90_W_Z_SCORE","PSI_90_FOOTNOTE","DOMAIN_2_SCORE","DOMAIN_2_FOOTNOTE","CLABSI_W_Z_SCORE","CLABSI_FOOTNOTE","CAUTI_W_Z_SCORE","CAUTI_FOOTNOTE","SSI_W_Z_SCORE","SSI_FOOTNOTE","MRSA_W_Z_SCORE","MRSA_FOOTNOTE","CDI_W_Z_SCORE","CDI_FOOTNOTE","DOMAIN_2_START_DATE","DOMAIN_2_END_DATE","TOTAL_HAC_SCORE","TOTAL_HAC_FOOTNOTE","PAYMENT_REDUCTION","PAYMENT_REDUCTION_FOOTNOTE"
"RUSSELLVILLE HOSPITAL","010158","AL","2018","-0.7624","","07/01/2014","09/30/2015","-0.7624","","-1.7428","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.5957","","No",""
"COOSA VALLEY MEDICAL CENTER","010164","AL","2018","0.9481","","07/01/2014","09/30/2015","0.9481","","-1.1210","","-1.5110","","-1.5254","","-1.4872","","Not Available","5","0.0395","","01/01/2015","12/31/2016","-0.8106","","No",""
"JACK HUGHSTON MEMORIAL HOSPITAL","010168","AL","2018","-1.1963","","07/01/2014","09/30/2015","-1.1963","","Not Available","4","Not Available","4","Not Available","4","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","Not Available","4","No",""
"ATMORE COMMUNITY HOSPITAL","010169","AL","2018","-0.1864","","07/01/2014","09/30/2015","-0.1864","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6942","","No",""
"NORTH ALABAMA SPECIALITY HOSPITAL","010172","AL","2018","Not Available","5","07/01/2014","09/30/2015","Not Available","5","2.1265","18","2.1946","18","2.1498","18","2.1044","18","2.2236","18","1.9601","18","01/01/2015","12/31/2016","2.1265","18","Yes",""
"ST VINCENT'S CHILTON","010173","AL","2018","Not Available","5","07/01/2014","09/30/2015","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","Not Available","5","No",""
"PROVIDENCE ALASKA MEDICAL CENTER","020001","AK","2018","-0.1377","","07/01/2014","09/30/2015","-0.1377","","0.0143","","-0.0903","","1.2577","","-0.6574","","-0.3987","","-0.0396","","01/01/2015","12/31/2016","-0.0085","","No",""
"MAT-SU REGIONAL MEDICAL CENTER","020006","AK","2018","0.8166","","07/01/2014","09/30/2015","0.8166","","-0.5848","","-1.0611","","0.1067","","0.8099","","-1.4551","","-1.3243","","01/01/2015","12/31/2016","-0.3746","","No",""
"BARTLETT REGIONAL HOSPITAL","020008","AK","2018","-0.1590","","07/01/2014","09/30/2015","-0.1590","","0.3390","","Not Available","5","Not Available","5","2.1044","","Not Available","5","-1.4265","","01/01/2015","12/31/2016","0.2643","","No",""
"FAIRBANKS MEMORIAL HOSPITAL","020012","AK","2018","-0.0264","","07/01/2014","09/30/2015","-0.0264","","-0.4516","","0.9972","","0.1919","","-0.5246","","-1.4551","","-1.4673","","01/01/2015","12/31/2016","-0.3878","","No",""
"ALASKA REGIONAL HOSPITAL","020017","AK","2018","-0.3771","","07/01/2014","09/30/2015","-0.3771","","0.1526","","-0.5317","","-0.2407","","-0.9561","","1.1571","","1.3344","","01/01/2015","12/31/2016","0.0731","","No",""
"YUKON KUSKOKWIM DELTA REG HOSPITAL","020018","AK","2018","-0.0105","","07/01/2014","09/30/2015","-0.0105","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0105","","No",""
"CENTRAL PENINSULA GENERAL HOSPITAL","020024","AK","2018","0.1296","","07/01/2014","09/30/2015","0.1296","","1.6578","","0.6877","","2.1498","","2.1044","","Not Available","5","1.6894","","01/01/2015","12/31/2016","1.4286","","Yes",""
"ALASKA NATIVE MEDICAL CENTER","020026","AK","2018","1.2802","","07/01/2014","09/30/2015","1.2802","","0.7016","","0.3190","","2.1498","","-0.6330","","1.3262","","0.3460","","01/01/2015","12/31/2016","0.7884","","Yes",""
"ABRAZO MARYVALE CAMPUS","030001","AZ","2018","-0.1481","","07/01/2014","09/30/2015","-0.1481","","0.2022","","-0.7956","","-0.1221","","1.5873","","Not Available","5","0.1391","","01/01/2015","12/31/2016","0.1496","","No",""
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","030002","AZ","2018","1.4321","","07/01/2014","09/30/2015","1.4321","","-0.2440","","-0.5470","","-0.8187","","0.5689","","0.0480","","-0.4713","","01/01/2015","12/31/2016","0.0074","","No",""
"TUCSON MEDICAL CENTER","030006","AZ","2018","-0.7589","","07/01/2014","09/30/2015","-0.7589","","0.2302","","0.4475","","0.0499","","0.0745","","-0.0528","","0.6321","","01/01/2015","12/31/2016","0.0819","","No",""
"VERDE VALLEY MEDICAL CENTER","030007","AZ","2018","-0.6439","","07/01/2014","09/30/2015","-0.6439","","-0.0541","","-0.1664","","-0.7202","","0.7034","","-1.4551","","1.3676","","01/01/2015","12/31/2016","-0.1426","","No",""
"ST. MARY'S HOSPITAL","030010","AZ","2018","-0.2252","","07/01/2014","09/30/2015","-0.2252","","0.7551","","-0.1529","","0.8418","","1.6851","","0.7414","","0.6601","","01/01/2015","12/31/2016","0.6081","","Yes",""
"ST JOSEPH'S HOSPITAL","030011","AZ","2018","-0.6741","","07/01/2014","09/30/2015","-0.6741","","-0.1550","","-0.9613","","0.3172","","0.0396","","-0.3630","","0.1928","","01/01/2015","12/31/2016","-0.2328","","No",""
"YAVAPAI REGIONAL MEDICAL CENTER","030012","AZ","2018","0.1161","","07/01/2014","09/30/2015","0.1161","","0.5317","","-0.8514","","-0.2959","","0.6510","","1.6644","","1.4902","","01/01/2015","12/31/2016","0.4693","","Yes",""
"YUMA REGIONAL MEDICAL CENTER","030013","AZ","2018","-0.0271","","07/01/2014","09/30/2015","-0.0271","","-0.3513","","-0.6958","","-0.3326","","-0.8216","","0.2481","","-0.1546","","01/01/2015","12/31/2016","-0.3027","","No",""
"HONORHEALTH JOHN C LINCOLN MEDICAL CENTER","030014","AZ","2018","1.8436","","07/01/2014","09/30/2015","1.8436","","0.8205","","2.1287","","1.3045","","0.2073","","0.1597","","0.3026","","01/01/2015","12/31/2016","0.9740","","Yes",""
"BANNER CASA GRANDE MEDICAL CENTER","030016","AZ","2018","0.4279","","07/01/2014","09/30/2015","0.4279","","-0.6180","","-0.7110","","-1.0309","","-0.1613","","-0.2482","","-0.9386","","01/01/2015","12/31/2016","-0.4611","","No",""
"MARICOPA MEDICAL CENTER","030022","AZ","2018","0.4660","","07/01/2014","09/30/2015","0.4660","","0.7290","","0.4932","","0.3807","","0.1095","","2.2236","","0.4380","","01/01/2015","12/31/2016","0.6895","","Yes",""
"FLAGSTAFF MEDICAL CENTER","030023","AZ","2018","2.2881","","07/01/2014","09/30/2015","2.2881","","0.0188","","0.2006","","0.2387","","-0.4635","","-0.2917","","0.4099","","01/01/2015","12/31/2016","0.3592","","No",""
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","030024","AZ","2018","1.0272","","07/01/2014","09/30/2015","1.0272","","-0.0609","","-0.1935","","-0.0687","","0.3400","","-0.3941","","0.0114","","01/01/2015","12/31/2016","0.1023","","No",""
"ABRAZO CENTRAL CAMPUS","030030","AZ","2018","-0.8507","","07/01/2014","09/30/2015","-0.8507","","-0.1267","","-0.3423","","0.1752","","-0.4268","","-0.3754","","0.3358","","01/01/2015","12/31/2016","-0.2353","","No",""
