Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","Montgomery","0.850916","0.873053","0.824197","0.869442","8 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.898243","0.883788","1 out of 10","0 out of 9","1 out of 10","0.882860","0.907900","0.855686","0.880721","0 out of 10","4 out of 9","4 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","Montgomery","0.850916","0.873053","0.828536","0.855396","2 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.891959","0.882553","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.825506","0.850636","0 out of 10","3 out of 9","3 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","Lee","0.850916","0.873053","0.832919","0.830242","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.887514","0.874465","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.874136","0.880827","0 out of 10","1 out of 9","1 out of 10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","Jefferson","0.850916","0.873053","0.848594","0.884452","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.877256","0.911588","10 out of 10","9 out of 9","10 out of 10","0.882860","0.907900","0.873853","0.901316","7 out of 10","8 out of 9","8 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","Elmore","0.850916","0.873053","0.845064","0.870679","Not Available","Not Available","Not Available","0.883421","0.907656","0.881075","0.902331","8 out of 10","7 out of 9","8 out of 10","0.882860","0.907900","0.882897","0.911354","10 out of 10","9 out of 9","10 out of 10"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","Cullman","0.850916","0.873053","0.849041","0.854001","2 out of 10","2 out of 9","2 out of 10","0.883421","0.907656","0.863830","0.877077","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.881617","0.885767","2 out of 10","1 out of 9","2 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","Covington","0.850916","0.873053","0.851695","0.864570","6 out of 10","Not Available","6 out of 10","0.883421","0.907656","0.882908","0.896970","6 out of 10","5 out of 9","6 out of 10","0.882860","0.907900","0.885681","0.892425","4 out of 10","3 out of 9","4 out of 10"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","Calhoun","0.850916","0.873053","0.837953","0.873113","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.877591","0.880068","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.879231","0.904418","8 out of 10","8 out of 9","8 out of 10"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","Madison","0.850916","0.873053","0.850402","0.865832","7 out of 10","6 out of 9","7 out of 10","0.883421","0.907656","0.876725","0.879032","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.873750","0.886499","2 out of 10","3 out of 9","3 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","Etowah","0.850916","0.873053","0.835674","0.852059","1 out of 10","4 out of 9","4 out of 10","0.883421","0.907656","0.889876","0.873248","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.846319","0.883248","1 out of 10","5 out of 9","5 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL","35570","Marion","0.850916","0.873053","0.845889","0.863115","Not Available","Not Available","Not Available","0.883421","0.907656","0.883027","0.895535","5 out of 10","5 out of 9","5 out of 10","0.882860","0.907900","0.915117","0.908403","10 out of 10","0 out of 9","10 out of 10"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","Fayette","0.850916","0.873053","0.836292","0.868908","Not Available","Not Available","Not Available","0.883421","0.907656","0.892379","0.890223","3 out of 10","0 out of 9","3 out of 10","0.882860","0.907900","0.866605","0.899943","7 out of 10","8 out of 9","8 out of 10"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","Etowah","0.850916","0.873053","0.839223","0.871238","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.892853","0.902897","8 out of 10","6 out of 9","8 out of 10","0.882860","0.907900","0.873022","0.897042","6 out of 10","6 out of 9","6 out of 10"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","36330","Coffee","0.850916","0.873053","0.837714","0.855694","Not Available","Not Available","Not Available","0.883421","0.907656","0.864143","0.844986","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.866794","0.882217","0 out of 10","3 out of 9","3 out of 10"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","36305","Houston","0.850916","0.873053","0.865172","0.854175","2 out of 10","0 out of 9","2 out of 10","0.883421","0.907656","0.869312","0.864826","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.887290","0.893585","4 out of 10","3 out of 9","4 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","35205","Jefferson","0.850916","0.873053","0.853586","0.855168","2 out of 10","0 out of 9","2 out of 10","0.883421","0.907656","0.885624","0.893341","4 out of 10","3 out of 9","4 out of 10","0.882860","0.907900","0.861567","0.903756","8 out of 10","9 out of 9","9 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL","35650","Lawrence","0.850916","0.873053","0.844410","0.861554","Not Available","Not Available","Not Available","0.883421","0.907656","0.895548","0.874999","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.903341","0.907079","9 out of 10","8 out of 9","9 out of 10"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","Jackson","0.850916","0.873053","0.860171","0.864553","Not Available","Not Available","Not Available","0.883421","0.907656","0.878210","0.874985","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.863025","0.884585","1 out of 10","4 out of 9","4 out of 10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","Geneva","0.850916","0.873053","0.841975","0.864482","Not Available","Not Available","Not Available","0.883421","0.907656","0.872160","0.865816","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.861491","0.887264","2 out of 10","5 out of 9","5 out of 10"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","AL","35010","Tallapoosa","0.850916","0.873053","0.831540","0.863465","6 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.870698","0.867054","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.834842","0.875217","0 out of 10","5 out of 9","5 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","Barbour","0.850916","0.873053","0.845024","0.854524","Not Available","Not Available","Not Available","0.883421","0.907656","0.850585","0.886919","2 out of 10","6 out of 9","6 out of 10","0.882860","0.907900","0.843092","0.882626","0 out of 10","6 out of 9","6 out of 10"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","36251","Clay","0.850916","0.873053","0.850775","0.864227","Not Available","Not Available","Not Available","0.883421","0.907656","0.864465","0.860023","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.875492","0.869725","0 out of 10","0 out of 9","0 out of 10"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","Calhoun","0.850916","0.873053","0.842590","0.880914","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.892025","0.869618","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.864715","0.882134","0 out of 10","4 out of 9","4 out of 10"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","Limestone","0.850916","0.873053","0.847725","0.864565","Not Available","Not Available","Not Available","0.883421","0.907656","0.895580","0.886675","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.884359","0.872982","0 out of 10","0 out of 9","0 out of 10"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL","36535","Baldwin","0.850916","0.873053","0.841218","0.862509","5 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.860453","0.891173","3 out of 10","6 out of 9","6 out of 10","0.882860","0.907900","0.894350","0.901642","7 out of 10","5 out of 9","7 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL","35601","Morgan","0.850916","0.873053","0.841705","0.853602","2 out of 10","3 out of 9","3 out of 10","0.883421","0.907656","0.873919","0.884887","1 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.873620","0.872215","0 out of 10","0 out of 9","0 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL","35594","Fayette","0.850916","0.873053","0.857939","0.861560","Not Available","Not Available","Not Available","0.883421","0.907656","0.879099","0.876699","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.873827","0.896451","5 out of 10","6 out of 9","6 out of 10"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL","36617","Mobile","0.850916","0.873053","0.847883","0.866660","Not Available","Not Available","Not Available","0.883421","0.907656","0.870891","0.881032","0 out of 10","Not Available","0 out of 10","0.882860","0.907900","0.866646","0.894859","Not Available","Not Available","Not Available"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL","35502","Walker","0.850916","0.873053","0.839996","0.872434","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.885934","0.873180","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.889497","0.874448","0 out of 10","0 out of 9","0 out of 10"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL","36608","Mobile","0.850916","0.873053","0.842783","0.850554","0 out of 10","2 out of 9","2 out of 10","0.883421","0.907656","0.863595","0.838917","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.889604","0.887175","2 out of 10","0 out of 9","2 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL","36451","Clarke","0.850916","0.873053","0.849428","0.870643","Not Available","Not Available","Not Available","0.883421","0.907656","0.893809","0.888118","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.887837","0.891381","4 out of 10","1 out of 9","4 out of 10"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","Tuscaloosa","0.850916","0.873053","0.854272","0.843675","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.875481","0.876122","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.879482","0.880084","0 out of 10","0 out of 9","0 out of 10"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL","36092","Elmore","0.850916","0.873053","0.857585","0.866441","Not Available","Not Available","Not Available","0.883421","0.907656","0.892252","0.891291","3 out of 10","0 out of 9","3 out of 10","0.882860","0.907900","0.885287","0.896645","5 out of 10","5 out of 9","5 out of 10"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL","36426","Escambia","0.850916","0.873053","0.843915","0.849205","Not Available","Not Available","Not Available","0.883421","0.907656","0.867724","0.876187","0 out of 10","2 out of 9","2 out of 10","0.882860","0.907900","0.855963","0.841166","0 out of 10","0 out of 9","0 out of 10"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","AL","36532","Baldwin","0.850916","0.873053","0.832869","0.870557","8 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.864107","0.881142","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.862185","0.882933","1 out of 10","4 out of 9","4 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","AL","35161","Talladega","0.850916","0.873053","0.834184","0.866936","Not Available","Not Available","Not Available","0.883421","0.907656","0.854612","0.874904","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.887007","0.862758","0 out of 10","0 out of 9","0 out of 10"
"010103","PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL","35211","Jefferson","0.850916","0.873053","0.852619","0.837421","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.882431","0.886381","2 out of 10","1 out of 9","2 out of 10","0.882860","0.907900","0.863724","0.840911","0 out of 10","0 out of 9","0 out of 10"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL","35243","Jefferson","0.850916","0.873053","0.835428","0.860721","4 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.867060","0.880598","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.851964","0.885282","1 out of 10","5 out of 9","5 out of 10"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AL","36067","Autauga","0.850916","0.873053","0.861240","0.867134","7 out of 10","4 out of 9","7 out of 10","0.883421","0.907656","0.884436","0.906354","9 out of 10","9 out of 9","9 out of 10","0.882860","0.907900","0.859990","0.879444","0 out of 10","4 out of 9","4 out of 10"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","DEMOPOLIS","AL","36732","Marengo","0.850916","0.873053","0.838560","0.867378","Not Available","Not Available","Not Available","0.883421","0.907656","0.899513","0.881780","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.910088","0.872438","0 out of 10","0 out of 9","0 out of 10"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","Mobile","0.850916","0.873053","0.824985","0.857636","3 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.878358","0.888727","2 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.858628","0.885600","1 out of 10","5 out of 9","5 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","AL","35021","Jefferson","0.850916","0.873053","0.856351","0.871895","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.888522","0.893236","4 out of 10","2 out of 9","4 out of 10","0.882860","0.907900","0.884455","0.894504","5 out of 10","4 out of 9","5 out of 10"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","AL","36701","Dallas","0.850916","0.873053","0.851749","0.852510","1 out of 10","0 out of 9","1 out of 10","0.883421","0.907656","0.886907","0.888863","3 out of 10","0 out of 9","3 out of 10","0.882860","0.907900","0.860886","0.879085","0 out of 10","3 out of 9","3 out of 10"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","MONROEVILLE","AL","36460","Monroe","0.850916","0.873053","0.849352","0.865494","Not Available","Not Available","Not Available","0.883421","0.907656","0.874225","0.877034","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.847205","0.838529","0 out of 10","0 out of 9","0 out of 10"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","HALEYVILLE","AL","35565","Winston","0.850916","0.873053","0.853327","0.852898","Not Available","Not Available","Not Available","0.883421","0.907656","0.871746","0.876237","0 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.887357","0.908841","10 out of 10","9 out of 9","10 out of 10"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","AL","36081","Pike","0.850916","0.873053","0.845765","0.855736","Not Available","Not Available","Not Available","0.883421","0.907656","0.899618","0.877497","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.873523","0.880093","0 out of 10","1 out of 9","1 out of 10"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","JACKSON","AL","36545","Clarke","0.850916","0.873053","0.848702","0.864168","Not Available","Not Available","Not Available","0.883421","0.907656","0.879145","0.867118","0 out of 10","Not Available","0 out of 10","0.882860","0.907900","0.888210","0.876875","0 out of 10","0 out of 9","0 out of 10"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","AL","36507","Baldwin","0.850916","0.873053","0.850031","0.865681","Not Available","Not Available","Not Available","0.883421","0.907656","0.879905","0.866630","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.856471","0.852755","0 out of 10","0 out of 9","0 out of 10"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","PELL CITY","AL","35125","Saint Clair","0.850916","0.873053","0.841312","0.870205","Not Available","Not Available","Not Available","0.883421","0.907656","0.887454","0.883119","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.885997","0.900539","7 out of 10","6 out of 9","7 out of 10"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL","35801","Madison","0.850916","0.873053","0.868536","0.874347","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.868950","0.868032","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.873934","0.881266","0 out of 10","2 out of 9","2 out of 10"
"010139","BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","AL","35209","Jefferson","0.850916","0.873053","0.841599","0.881741","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.866959","0.859361","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.865445","0.883952","1 out of 10","4 out of 9","4 out of 10"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","MOBILE","AL","36608","Mobile","0.850916","0.873053","0.850537","0.859543","4 out of 10","3 out of 9","4 out of 10","0.883421","0.907656","0.873552","0.886622","2 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.872562","0.886221","2 out of 10","3 out of 9","3 out of 10"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","EVERGREEN","AL","36401","Conecuh","0.850916","0.873053","0.850204","0.870990","Not Available","Not Available","Not Available","0.883421","0.907656","0.897748","0.876111","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.883395","0.892451","4 out of 10","3 out of 9","4 out of 10"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","AL","36117","Montgomery","0.850916","0.873053","0.867512","0.878805","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.897515","0.880819","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.896431","0.904589","8 out of 10","7 out of 9","8 out of 10"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","AL","36037","Butler","0.850916","0.873053","0.853666","0.858508","Not Available","Not Available","Not Available","0.883421","0.907656","0.890581","0.885985","1 out of 10","0 out of 9","1 out of 10","0.882860","0.907900","0.878018","0.892898","4 out of 10","4 out of 9","4 out of 10"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","Colbert","0.850916","0.873053","0.853242","0.861794","Not Available","Not Available","Not Available","0.883421","0.907656","0.873865","0.879687","0 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.878984","0.891162","3 out of 10","4 out of 9","4 out of 10"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","AL","35653","Franklin","0.850916","0.873053","0.862228","0.859855","Not Available","Not Available","Not Available","0.883421","0.907656","0.858920","0.883249","0 out of 10","4 out of 9","4 out of 10","0.882860","0.907900","0.862237","0.884167","1 out of 10","4 out of 9","4 out of 10"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","AL","35150","Talladega","0.850916","0.873053","0.851387","0.857909","3 out of 10","3 out of 9","3 out of 10","0.883421","0.907656","0.880316","0.863673","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.896674","0.886844","2 out of 10","0 out of 9","2 out of 10"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","ATMORE","AL","36502","Escambia","0.850916","0.873053","0.854088","0.865419","Not Available","Not Available","Not Available","0.883421","0.907656","0.894004","0.896546","5 out of 10","1 out of 9","5 out of 10","0.882860","0.907900","0.871738","0.897141","6 out of 10","7 out of 9","7 out of 10"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE","ANCHORAGE","AK","99508","Anchorage","0.850916","0.873053","0.863270","0.872760","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.850913","0.858055","0 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.884663","0.889152","3 out of 10","1 out of 9","3 out of 10"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","Matanuska Susitna","0.850916","0.873053","0.831388","0.862052","5 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.860375","0.864453","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.876335","0.886015","2 out of 10","3 out of 9","3 out of 10"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","Juneau","0.850916","0.873053","0.847578","0.867512","Not Available","Not Available","Not Available","0.883421","0.907656","0.880358","0.867160","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.890039","0.842343","0 out of 10","0 out of 9","0 out of 10"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","AK","99701","Fairbanks North Star","0.850916","0.873053","0.849246","0.879576","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.854483","0.884376","1 out of 10","5 out of 9","5 out of 10","0.882860","0.907900","0.879808","0.895848","5 out of 10","5 out of 9","5 out of 10"
