PROVIDER_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_ID,MEASURE_DESCRIPTION,HOSPITAL_PERFORMANCE,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","PCH-14","Radiation Dose Limits to Normal Tissues","Not Available","Not Available","1","01/01/2016","12/31/2016"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","85","100","2","01/01/2016","12/31/2016"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","PCH-16","Medical and Radiation - Pain Intensity Quantified","100","533","2","01/01/2016","12/31/2016"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","19","","01/01/2016","12/31/2016"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","Not Available","Not Available","1","01/01/2016","12/31/2016"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","Hillsborough","PCH-14","Radiation Dose Limits to Normal Tissues","100","44","2","01/01/2016","12/31/2016"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","Hillsborough","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","95","100","","01/01/2016","12/31/2016"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","Hillsborough","PCH-16","Medical and Radiation - Pain Intensity Quantified","97","422","2","01/01/2016","12/31/2016"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","Hillsborough","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","27","","01/01/2016","12/31/2016"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","Hillsborough","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","26","","01/01/2016","12/31/2016"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","Suffolk","PCH-14","Radiation Dose Limits to Normal Tissues","Not Available","Not Available","1","01/01/2016","12/31/2016"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","Suffolk","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","100","23","","01/01/2016","12/31/2016"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","Suffolk","PCH-16","Medical and Radiation - Pain Intensity Quantified","99","120","2","01/01/2016","12/31/2016"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","Suffolk","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","Not Available","Not Available","5","01/01/2016","12/31/2016"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","Suffolk","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","Not Available","Not Available","5","01/01/2016","12/31/2016"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","New York","PCH-14","Radiation Dose Limits to Normal Tissues","100","18","","01/01/2016","12/31/2016"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","New York","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","93","100","","01/01/2016","12/31/2016"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","New York","PCH-16","Medical and Radiation - Pain Intensity Quantified","98","426","2","01/01/2016","12/31/2016"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","New York","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","32","2","01/01/2016","12/31/2016"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","New York","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","34","2","01/01/2016","12/31/2016"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","Erie","PCH-14","Radiation Dose Limits to Normal Tissues","100","261","","01/01/2016","12/31/2016"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","Erie","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","98","121","","01/01/2016","12/31/2016"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","Erie","PCH-16","Medical and Radiation - Pain Intensity Quantified","94","500","2","01/01/2016","12/31/2016"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","Erie","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","98","48","","01/01/2016","12/31/2016"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","Erie","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","Not Available","Not Available","1","01/01/2016","12/31/2016"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","Franklin","PCH-14","Radiation Dose Limits to Normal Tissues","100","11","","01/01/2016","12/31/2016"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","Franklin","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","97","103","","01/01/2016","12/31/2016"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","Franklin","PCH-16","Medical and Radiation - Pain Intensity Quantified","100","239","2","01/01/2016","12/31/2016"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","Franklin","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","98","49","","01/01/2016","12/31/2016"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","Franklin","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","22","","01/01/2016","12/31/2016"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","Philadelphia","PCH-14","Radiation Dose Limits to Normal Tissues","100","67","","01/01/2016","12/31/2016"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","Philadelphia","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","97","233","2","01/01/2016","12/31/2016"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","Philadelphia","PCH-16","Medical and Radiation - Pain Intensity Quantified","97","600","2","01/01/2016","12/31/2016"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","Philadelphia","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","28","","01/01/2016","12/31/2016"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","Philadelphia","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","33","","01/01/2016","12/31/2016"
"450076","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","Harris","PCH-14","Radiation Dose Limits to Normal Tissues","100","100","2","01/01/2016","12/31/2016"
"450076","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","Harris","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","100","100","2","01/01/2016","12/31/2016"
"450076","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","Harris","PCH-16","Medical and Radiation - Pain Intensity Quantified","100","216","2","01/01/2016","12/31/2016"
"450076","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","Harris","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","95","","01/01/2016","12/31/2016"
"450076","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","Harris","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","100","32","","01/01/2016","12/31/2016"
"500138","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","King","PCH-14","Radiation Dose Limits to Normal Tissues","Not Available","Not Available","1","01/01/2016","12/31/2016"
"500138","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","King","PCH-15","Plan of Care for Pain – Medical Oncology and Radiation Oncology","93","150","","01/01/2016","12/31/2016"
"500138","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","King","PCH-16","Medical and Radiation - Pain Intensity Quantified","95","463","2","01/01/2016","12/31/2016"
"500138","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","King","PCH-17","Adjuvant Hormonal Therapy for High Risk Prostate Cancer Patients","100","18","","01/01/2016","12/31/2016"
"500138","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","King","PCH-18","Avoidance of Overuse Measure - Bone Scan for Staging Low Risk Prostate Cancer Patients","Not Available","Not Available","1","01/01/2016","12/31/2016"
