"Provider_Number","Hospital_Name","Address","City","State","ZIP_Code","County_Name","FUH_Measure_Description","FUH-30_%","FUH-30_Numerator","FUH-30_Denominator","FUH-30_Footnote","FUH-7_%","FUH-7_Numerator","FUH-7_Denominator","FUH-7_Footnote","FUH_Measure_Start_Date","FUH_Measure_End_Date"
"014007","BRYCE HOSPITAL","1651 RUBY TYLER PARKWAY","TUSCALOOSA","AL","-2990","Tuscaloosa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"014012","MARY S HARPER GERIATRIC PSYCHIATRY CENTER","200 UNIVERSITY BLVD","TUSCALOOSA","AL","35401","Tuscaloosa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.00","13","25","","48.00","12","25","","07/01/2015","06/30/2016"
"014014","BAYPOINTE BEHAVIORAL HEALTH","5800 SOUTHLAND DRIVE","MOBILE","AL","36693","Mobile","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2015","06/30/2016"
"014015","BEACON CHILDREN'S HOSPITAL","150 HOSPITAL DRIVE","LUVERNE","AL","36049","Crenshaw","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2015","06/30/2016"
"014016","SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW","CULLMAN","AL","35055","Cullman","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","41.96","47","112","","16.07","18","112","","07/01/2015","06/30/2016"
"014017","EASTPOINTE HOSPITAL","7400 ROPER LANE","DAPHNE","AL","36526","Baldwin","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","55.71","78","140","","34.29","48","140","","07/01/2015","06/30/2016"
"014018","BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC","5315 MILLENIUM DRIVE, NW","HUNTSVILLE","AL","35806","Madison","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","AK","99801","Juneau","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","40.91","18","44","","25.00","11","44","","07/01/2015","06/30/2016"
"024001","NORTH STAR HOSPITAL","2530 DEBARR RD","ANCHORAGE","AK","99508","Anchorage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2015","06/30/2016"
"024002","ALASKA PSYCHIATRIC INSTITUTE","2800 PROVIDENCE DRIVE","ANCHORAGE","AK","99508","Anchorage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","42.38","64","151","","14.57","22","151","","07/01/2015","06/30/2016"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 E. MCDOWELL RD.","PHOENIX","AZ","62666","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.67","18","27","","48.15","13","27","","07/01/2015","06/30/2016"
"030006","TUCSON MEDICAL CENTER","5301 E. GRANT ROAD","TUCSON","AZ","85712","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.69","15","26","","46.15","12","26","","07/01/2015","06/30/2016"
"030007","VERDE VALLEY MEDICAL CENTER","269 S. CANDY LANE","COTTONWOOD","AZ","64124","Yavapai","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","80.00","12","15","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"030010","ST. MARY'S HOSPITAL","1601 W. ST. MARY'S RD.","TUCSON","AZ","85745","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.58","19","33","","33.33","11","33","","07/01/2015","06/30/2016"
"030011","ST JOSEPH'S HOSPITAL","350 N. WILMOT RD.","TUCSON","AZ","85711","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","60.00","12","20","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.91","119","265","","36.60","97","265","","07/01/2015","06/30/2016"
"030023","FLAGSTAFF MEDICAL CENTER","1200 N. BEAVER STREET","FLAGSTAFF","AZ","86002","Coconino","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.63","20","38","","31.58","12","38","","07/01/2015","06/30/2016"
"030037","ST LUKE'S MEDICAL CENTER","1800 E. VAN BUREN ST.","PHOENIX","AZ","63702","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.00","90","180","","27.78","50","180","","07/01/2015","06/30/2016"
"030043","CANYON VISTA MEDICAL CENTER","5700 EAST HIGHWAY 90","SIERRA VISTA","AZ","85635","Cochise","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","33.33","13","39","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","5555 W. THUNDERBIRD RD.","GLENDALE","AZ","64696","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.43","36","70","","38.57","27","70","","07/01/2015","06/30/2016"
"030093","BANNER DEL E. WEBB MEDICAL CENTER","14502 WEST MEEKER BOULEVARD","SUN CITY WEST","AZ","85375","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","68.07","81","119","","38.66","46","119","","07/01/2015","06/30/2016"
"030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","2800 EAST AJO WAY","TUCSON","AZ","85713","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"030114","ORO VALLEY HOSPITAL","1551 EAST TANGERINE ROAD","ORO VALLEY","AZ","85755","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","89.74","35","39","","56.41","22","39","","07/01/2015","06/30/2016"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD","MESA","AZ","85209","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","58.46","38","65","","32.31","21","65","","07/01/2015","06/30/2016"
"034004","BANNER BEHAVIORAL HEALTH HOSPITAL","7575 E. EARLL DR.","SCOTTSDALE","AZ","16998","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.75","48","91","","31.87","29","91","","07/01/2015","06/30/2016"
"034013","ST. LUKE'S BEHAVIORAL HOSPITAL, LP","1800 E. VAN BUREN ST.","PHOENIX","AZ","63702","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","55.10","108","196","","39.29","77","196","","07/01/2015","06/30/2016"
"034020","HAVEN SENIOR HORIZONS","1201 SOUTH 7TH AVENUE, STE. 200","PHOENIX","AZ","85007","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","43.86","25","57","","28.07","16","57","","07/01/2015","06/30/2016"
"034021","ARIZONA STATE HOSPITAL","2500 EAST VAN BUREN STREET","PHOENIX","AZ","85008","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","07/01/2015","06/30/2016"
"034022","SONORA BEHAVIORAL HEALTH HOSPITAL","6050 NORTH CORONA ROAD","TUCSON","AZ","85704","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","43.59","51","117","","31.62","37","117","","07/01/2015","06/30/2016"
"034023","GUIDANCE CENTER, THE","2187 NORTH VICKEY STREET","FLAGSTAFF","AZ","86004","Coconino","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.63","20","38","","39.47","15","38","","07/01/2015","06/30/2016"
"034024","AURORA BEHAVIORAL HEALTH SYSTEM","6015 WEST PEORIA  AVENUE","GLENDALE","AZ","85302","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","49.23","64","130","","29.23","38","130","","07/01/2015","06/30/2016"
"034025","WINDHAVEN PSYCHIATRIC HOSPITAL","3347 NORTH WINDSONG DRIVE","PRESCOTT VALLEY","AZ","86314","Yavapai","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.17","24","46","","30.43","14","46","","07/01/2015","06/30/2016"
"034026","VALLEY HOSPITAL","3550 EAST PINCHOT AVENUE","PHOENIX","AZ","85018","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.01","101","198","","40.91","81","198","","07/01/2015","06/30/2016"
"034027","CHANGEPOINT PSYCHIATRIC HOSPITAL","1920 WEST COMMERCE DRIVE","LAKESIDE","AZ","85929","Navajo","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","69.23","36","52","","50.00","26","52","","07/01/2015","06/30/2016"
"034028","AURORA BEHAVIORAL HEALTHCARE-TEMPE","6350 SOUTH MAPLE AVENUE","TEMPE","AZ","85283","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.88","30","64","","37.50","24","64","","07/01/2015","06/30/2016"
"034029","OASIS BEHAVIORAL HEALTH HOSPITAL","2190 NORTH GRACE BOULEVARD","CHANDLER","AZ","85225","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","36.59","15","41","","29.27","12","41","","07/01/2015","06/30/2016"
"034030","PALO VERDE BEHAVIORAL HEALTH","2695 NORTH CRAYCROFT ROAD","TUCSON","AZ","85712","Pima","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","40.00","42","105","","30.48","32","105","","07/01/2015","06/30/2016"
"034031","QUAIL RUN BEHAVIORAL HEALTH","2545 WEST QUAIL AVENUE","PHOENIX","AZ","85027","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","54.76","92","168","","39.29","66","168","","07/01/2015","06/30/2016"
"034032","COPPER SPRINGS HOSPITAL, LLC","10550 WEST MCDOWELL ROAD","AVONDALE","AZ","85392","Maricopa","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","07/01/2015","06/30/2016"
"040002","JOHNSON REGIONAL MEDICAL CENTER","PO BOX 738","CLARKSVILLE","AR","-0738","Johnson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","78.95","30","38","","68.42","26","38","","07/01/2015","06/30/2016"
"040014","WHITE COUNTY MEDICAL CENTER","3214 E RACE AVE","SEARCY","AR","72143","White","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","37.78","17","45","","26.67","12","45","","07/01/2015","06/30/2016"
"040015","MENA REGIONAL HEALTH SYSTEM","311 MORROW ST N","MENA","AR","71953","Polk","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 N MAIN ST","HARRISON","AR","72601","Boone","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040019","FORREST CITY MEDICAL CENTER","1601 NEW CASTLE RD","FORREST CITY","AR","-2218","Saint Francis","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040020","ST BERNARDS MEDICAL CENTER","PO BOX 9320","JONESBORO","AR","-9320","Craighead","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","63.41","26","41","","39.02","16","41","","07/01/2015","06/30/2016"
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DR","MOUNTAIN HOME","AR","72653","Baxter","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","47.22","17","36","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVE","CONWAY","AR","-6297","Faulkner","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040047","FIVE RIVERS MEDICAL CENTER","2801 MEDICAL CENTER DR","POCAHONTAS","AR","72455","Randolph","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","FORT SMITH","AR","72901","Sebastian","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 W 40TH AVE","PINE BLUFF","AR","71603","Jefferson","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.86","29","51","","31.37","16","51","","07/01/2015","06/30/2016"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 N BUERKLE ST","STUTTGART","AR","72160","Arkansas","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"040074","NORTH METRO MEDICAL CENTER","PO BOX 159","JACKSONVILLE","AR","72078","Pulaski","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","70.37","19","27","","48.15","13","27","","07/01/2015","06/30/2016"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVE","HOT SPRINGS","AR","71901","Garland","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
