Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"370099","HILLCREST HOSPITAL CUSHING","1027 EAST CHERRY STREET","CUSHING","OK","74023","Payne","0.985777","0.832678","0.943434","1.047944","0 out of 10","0 out of 9","0 out of 10"
"280061","REGIONAL WEST MEDICAL CENTER","4021 AVE B","SCOTTSBLUFF","NE","69361","Scotts Bluff","0.985777","0.832678","0.946427","0.961479","2 out of 10","0 out of 9","2 out of 10"
"450869","DOCTORS HOSPITAL AT RENAISSANCE","5501 SOUTH MCCOLL","EDINBURG","TX","78539","Hidalgo","0.985777","0.832678","1.049161","1.011201","0 out of 10","1 out of 9","1 out of 10"
"050278","PROVIDENCE HOLY CROSS MEDICAL CENTER","15031 RINALDI ST","MISSION HILLS","CA","91346","Los Angeles","0.985777","0.832678","0.988834","1.022218","0 out of 10","0 out of 9","0 out of 10"
"470024","NORTHWESTERN MEDICAL CENTER INC","133 FAIRFIELD STREET","SAINT ALBANS","VT","05478","Franklin","0.985777","0.832678","0.971175","0.917604","5 out of 10","3 out of 9","5 out of 10"
"330182","ST FRANCIS HOSPITAL, ROSLYN","100 PORT WASHINGTON BOULEVARD","ROSLYN","NY","11576","Nassau","0.985777","0.832678","1.012753","1.025221","0 out of 10","0 out of 9","0 out of 10"
"260119","POPLAR BLUFF REGIONAL MEDICAL CENTER","3100 OAK GROVE ROAD","POPLAR BLUFF","MO","63901","Butler","0.985777","0.832678","0.955656","0.965158","2 out of 10","0 out of 9","2 out of 10"
"330164","HIGHLAND HOSPITAL","1000 SOUTH AVENUE","ROCHESTER","NY","14620","Monroe","0.985777","0.832678","0.902349","0.922181","4 out of 10","0 out of 9","4 out of 10"
"420101","COASTAL CAROLINA HOSPITAL","1000 MEDICAL CENTER DRIVE","HARDEEVILLE","SC","29927","Jasper","0.985777","0.832678","1.017428","1.033750","0 out of 10","0 out of 9","0 out of 10"
"370047","MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST","ARDMORE","OK","73401","Carter","0.985777","0.832678","0.981625","0.999319","0 out of 10","0 out of 9","0 out of 10"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET, POST OFFICE BOX  1090","ELMER","NJ","08318","Salem","0.985777","0.832678","1.024134","1.025251","0 out of 10","0 out of 9","0 out of 10"
"100167","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","PLANTATION","FL","33317","Broward","0.985777","0.832678","1.052083","1.051127","0 out of 10","0 out of 9","0 out of 10"
"340115","FIRSTHEALTH MOORE REGIONAL HOSPITAL","155 MEMORIAL DRIVE","PINEHURST","NC","28374","Moore","0.985777","0.832678","0.914199","0.931380","4 out of 10","0 out of 9","4 out of 10"
"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","AZ","85016","Maricopa","0.985777","0.832678","0.742115","0.701324","10 out of 10","9 out of 9","10 out of 10"
"140067","SAINT FRANCIS MEDICAL CENTER","530 NE GLEN OAK AVE","PEORIA","IL","61637","Peoria","0.985777","0.832678","0.972800","0.961971","2 out of 10","0 out of 9","2 out of 10"
"330394","UNITED HEALTH SERVICES HOSPITALS, INC","10-42 MITCHELL AVENUE","BINGHAMTON","NY","13903","Broome","0.985777","0.832678","0.940022","0.907169","5 out of 10","3 out of 9","5 out of 10"
"170109","MIAMI COUNTY MEDICAL CENTER","2100 BAPTISTE DRIVE","PAOLA","KS","66071","Miami","0.985777","0.832678","0.925098","0.866304","8 out of 10","6 out of 9","8 out of 10"
"520048","MERCY MEDICAL CENTER OF OSHKOSH","500 S OAKWOOD RD","OSHKOSH","WI","54904","Winnebago","0.985777","0.832678","0.947893","0.926901","4 out of 10","1 out of 9","4 out of 10"
"100007","FLORIDA HOSPITAL","601 E ROLLINS ST","ORLANDO","FL","32803","Orange","0.985777","0.832678","1.035234","1.019172","0 out of 10","0 out of 9","0 out of 10"
"280081","CHI HEALTH IMMANUEL","6901 NORTH 72ND ST","OMAHA","NE","68122","Douglas","0.985777","0.832678","1.060209","1.020008","0 out of 10","1 out of 9","1 out of 10"
"420053","NEWBERRY COUNTY MEMORIAL HOSPITAL","2669 KINARD ST PO BOX 497","NEWBERRY","SC","29108","Newberry","0.985777","0.832678","1.022426","0.949323","3 out of 10","3 out of 9","3 out of 10"
"420098","TIDELANDS WACCAMAW COMMUNITY HOSPITAL","4070 HIGHWAY 17 BYPASS PO DRAWER 3350","MURRELLS INLET","SC","29576","Horry","0.985777","0.832678","0.991065","0.955988","2 out of 10","2 out of 9","2 out of 10"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","AL","35661","Colbert","0.985777","0.832678","1.027432","1.118387","0 out of 10","0 out of 9","0 out of 10"
"440033","TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER","923 EAST CENTRAL AVENUE","LA FOLLETTE","TN","37766","Campbell","0.985777","0.832678","1.031453","1.068098","0 out of 10","0 out of 9","0 out of 10"
"340130","CAROLINAS HEALTHCARE SYSTEM UNION","600 HOSPITAL DR","MONROE","NC","28112","Union","0.985777","0.832678","0.965060","1.004138","0 out of 10","0 out of 9","0 out of 10"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","MOBILE","AL","36652","Mobile","0.985777","0.832678","0.982710","0.976259","1 out of 10","0 out of 9","1 out of 10"
"070019","MILFORD HOSPITAL, INC","300 SEASIDE AVENUE","MILFORD","CT","06460","New Haven","0.985777","0.832678","1.033294","1.031798","0 out of 10","0 out of 9","0 out of 10"
"450688","DALLAS REGIONAL MEDICAL CENTER","1011 NORTH GALLOWAY AVENUE","MESQUITE","TX","75149","Dallas","0.985777","0.832678","1.057352","1.047625","0 out of 10","0 out of 9","0 out of 10"
"180116","JACKSON PURCHASE MEDICAL CENTER","1099 MEDICAL CENTER CIRCLE","MAYFIELD","KY","42066","Graves","0.985777","0.832678","1.015615","1.053487","0 out of 10","0 out of 9","0 out of 10"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","ATMORE","AL","36502","Escambia","0.985777","0.832678","0.959079","0.910224","5 out of 10","3 out of 9","5 out of 10"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","MASSILLON","OH","44646","Stark","0.985777","0.832678","1.077628","1.041002","0 out of 10","1 out of 9","1 out of 10"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","MAGNOLIA","AR","71754","Columbia","0.985777","0.832678","1.067044","1.105860","0 out of 10","0 out of 9","0 out of 10"
"340183","NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER","10030 GILEAD ROAD","HUNTERSVILLE","NC","28078","Mecklenburg","0.985777","0.832678","0.932696","0.977483","1 out of 10","0 out of 9","1 out of 10"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","LITTLE ROCK","AR","72205","Pulaski","0.985777","0.832678","0.980045","1.005549","0 out of 10","0 out of 9","0 out of 10"
"100156","LAKE CITY MEDICAL CENTER","340 NW COMMERCE DR","LAKE CITY","FL","32055","Columbia","0.985777","0.832678","1.047784","1.018131","0 out of 10","1 out of 9","1 out of 10"
"440120","TENNOVA HEALTHCARE","900 EAST OAK HILL AVENUE","KNOXVILLE","TN","37917","Knox","0.985777","0.832678","0.963035","0.986147","0 out of 10","0 out of 9","0 out of 10"
"100040","ST VINCENT'S MEDICAL CENTER RIVERSIDE","1 SHIRCLIFF WAY","JACKSONVILLE","FL","32204","Duval","0.985777","0.832678","0.999877","0.989084","0 out of 10","0 out of 9","0 out of 10"
"240187","HUTCHINSON HEALTH","1095 HIGHWAY 15 SOUTH","HUTCHINSON","MN","55350","McLeod","0.985777","0.832678","0.857013","0.873842","7 out of 10","0 out of 9","7 out of 10"
"450184","MEMORIAL HERMANN HOSPITAL SYSTEM","1635  NORTH LOOP WEST","HOUSTON","TX","77008","Harris","0.985777","0.832678","1.094221","1.066091","0 out of 10","1 out of 9","1 out of 10"
"180051","JENNIE STUART MEDICAL CENTER","320 WEST 18TH STREET","HOPKINSVILLE","KY","42240","Christian","0.985777","0.832678","1.026423","1.019426","0 out of 10","0 out of 9","0 out of 10"
"450370","COLUMBUS COMMUNITY HOSPITAL","110 SHULT DR","COLUMBUS","TX","78934","Colorado","0.985777","0.832678","1.057828","1.031892","0 out of 10","1 out of 9","1 out of 10"
"330136","MARY IMOGENE BASSETT HOSPITAL","ONE ATWELL ROAD","COOPERSTOWN","NY","13326","Otsego","0.985777","0.832678","0.963136","0.967801","2 out of 10","0 out of 9","2 out of 10"
"250082","DELTA REGIONAL MEDICAL CENTER","1400 E UNION ST","GREENVILLE","MS","38704","Washington","0.985777","0.832678","1.039108","1.053182","0 out of 10","0 out of 9","0 out of 10"
"140292","ADVENTIST GLENOAKS","701 WINTHROP AVENUE","GLENDALE HEIGHTS","IL","60139","DuPage","0.985777","0.832678","1.087734","1.102813","0 out of 10","0 out of 9","0 out of 10"
"100204","NORTH FLORIDA REGIONAL MEDICAL CENTER","6500 NEWBERRY RD","GAINESVILLE","FL","32605","Alachua","0.985777","0.832678","1.009072","1.003043","0 out of 10","0 out of 9","0 out of 10"
"040062","MERCY HOSPITAL FORT SMITH","7301 ROGERS AVE","FORT SMITH","AR","72917","Sebastian","0.985777","0.832678","1.050444","1.028438","0 out of 10","1 out of 9","1 out of 10"
"150150","DUPONT HOSPITAL LLC","2520 E DUPONT RD","FORT WAYNE","IN","46825","Allen","0.985777","0.832678","0.963631","1.020114","0 out of 10","0 out of 9","0 out of 10"
"050045","EL CENTRO REGIONAL MEDICAL CENTER","1415 ROSS AVENUE","EL CENTRO","CA","92243","Imperial","0.985777","0.832678","0.915593","0.930928","4 out of 10","0 out of 9","4 out of 10"
"070031","GRIFFIN HOSPITAL","130 DIVISION ST","DERBY","CT","06418","New Haven","0.985777","0.832678","1.009896","1.020541","0 out of 10","0 out of 9","0 out of 10"
"360270","MERCY HOSPITAL OF DEFIANCE","1404 EAST SECOND STREET","DEFIANCE","OH","43512","Defiance","0.985777","0.832678","0.908724","0.942011","3 out of 10","0 out of 9","3 out of 10"
"050608","DELANO REGIONAL MEDICAL CENTER","1401 GARCES HIGHWAY","DELANO","CA","93215","Kern","0.985777","0.832678","0.922797","0.929254","4 out of 10","0 out of 9","4 out of 10"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","DAYTON","OH","45405","Montgomery","0.985777","0.832678","1.002939","1.039999","0 out of 10","0 out of 9","0 out of 10"
"140286","KISHWAUKEE COMMUNITY HOSPITAL","ONE KISH HOSPITAL DRIVE","DEKALB","IL","60115","DeKalb","0.985777","0.832678","0.999229","0.996645","0 out of 10","0 out of 9","0 out of 10"
"320022","PLAINS REGIONAL MEDICAL CENTER","2100 N MARTIN LUTHER KING, JR, BLVD","CLOVIS","NM","88101","Curry","0.985777","0.832678","0.972599","0.929429","4 out of 10","3 out of 9","4 out of 10"
"140180","PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","2233 W DIVISION ST","CHICAGO","IL","60622","Cook","0.985777","0.832678","1.010138","1.016771","0 out of 10","0 out of 9","0 out of 10"
"670043","CEDAR PARK REGIONAL MEDICAL CENTER","1401 MEDICAL PARKWAY","CEDAR PARK","TX","78613","Williamson","0.985777","0.832678","1.049282","0.986037","0 out of 10","2 out of 9","2 out of 10"
"160045","ST LUKES HOSPITAL","1026 A AVE NE","CEDAR RAPIDS","IA","52402","Linn","0.985777","0.832678","0.933572","0.928712","4 out of 10","0 out of 9","4 out of 10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","Jefferson","0.985777","0.832678","0.971372","0.967137","2 out of 10","0 out of 9","2 out of 10"
"110034","AU MEDICAL CENTER","1120 15TH STREET","AUGUSTA","GA","30912","Richmond","0.985777","0.832678","0.986265","1.025938","0 out of 10","0 out of 9","0 out of 10"
"230156","ST JOSEPH MERCY HOSPITAL","5301 E HURON RIVER DR","ANN ARBOR","MI","48106","Washtenaw","0.985777","0.832678","0.973126","0.953993","2 out of 10","1 out of 9","2 out of 10"
"110007","PHOEBE PUTNEY MEMORIAL HOSPITAL","417 THIRD AVENUE","ALBANY","GA","31703","Dougherty","0.985777","0.832678","0.987439","0.944783","3 out of 10","2 out of 9","3 out of 10"
"250126","NORTH OAK REGIONAL MEDICAL CENTER","401 GETWELL DR","SENATOBIA","MS","38668","Tate","0.985777","0.832678","0.951198","0.965310","2 out of 10","0 out of 9","2 out of 10"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","YORK","PA","17403","York","0.985777","0.832678","1.032695","1.046210","0 out of 10","0 out of 9","0 out of 10"
"440197","TRISTAR SOUTHERN HILLS MEDICAL CENTER","391 WALLACE RD","NASHVILLE","TN","37211","Davidson","0.985777","0.832678","1.043755","1.019176","0 out of 10","1 out of 9","1 out of 10"
"510050","WHEELING HOSPITAL","1 MEDICAL PARK","WHEELING","WV","26003","Ohio","0.985777","0.832678","0.997405","1.024672","0 out of 10","0 out of 9","0 out of 10"
"100252","RAULERSON HOSPITAL","1796 HWY 441 NORTH","OKEECHOBEE","FL","34972","Okeechobee","0.985777","0.832678","0.958135","0.987802","0 out of 10","0 out of 9","0 out of 10"
"100275","WELLINGTON REGIONAL MEDICAL CENTER LLC","10101 FOREST HILL BLVD","WELLINGTON","FL","33414","Palm Beach","0.985777","0.832678","1.087311","1.074713","0 out of 10","0 out of 9","0 out of 10"
"360056","MERCY HOSPITAL FAIRFIELD","3000 MACK ROAD","FAIRFIELD","OH","45014","Butler","0.985777","0.832678","0.980678","0.972343","1 out of 10","0 out of 9","1 out of 10"
"150074","COMMUNITY HOSPITAL EAST","1500 N RITTER AVE","INDIANAPOLIS","IN","46219","Marion","0.985777","0.832678","1.017186","1.023620","0 out of 10","0 out of 9","0 out of 10"
"450023","CITIZENS MEDICAL CENTER","2701 HOSPITAL DRIVE","VICTORIA","TX","77901","Victoria","0.985777","0.832678","1.017064","1.096516","0 out of 10","0 out of 9","0 out of 10"
"050394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST","VENTURA","CA","93003","Ventura","0.985777","0.832678","0.972880","0.964412","2 out of 10","0 out of 9","2 out of 10"
"050101","SUTTER SOLANO MEDICAL CENTER","300 HOSPITAL DR","VALLEJO","CA","94589","Solano","0.985777","0.832678","0.994279","1.003266","0 out of 10","0 out of 9","0 out of 10"
"050126","VALLEY PRESBYTERIAN HOSPITAL","15107 VANOWEN ST","VAN NUYS","CA","91406","Los Angeles","0.985777","0.832678","1.070464","1.090899","0 out of 10","0 out of 9","0 out of 10"
"240210","HEALTHEAST ST JOHN'S HOSPITAL","1575 BEAM AVENUE","MAPLEWOOD","MN","55109","Ramsey","0.985777","0.832678","0.904510","0.901762","5 out of 10","0 out of 9","5 out of 10"
"370091","SAINT FRANCIS HOSPITAL, INC","6161 SOUTH YALE","TULSA","OK","74136","Tulsa","0.985777","0.832678","0.972579","0.989212","0 out of 10","0 out of 9","0 out of 10"
"360052","GOOD SAMARITAN HOSPITAL","2222 PHILADELPHIA DRIVE","DAYTON","OH","45406","Montgomery","0.985777","0.832678","1.057617","1.064919","0 out of 10","0 out of 9","0 out of 10"
"390096","ST JOSEPH MEDICAL CENTER","2500 BERNVILLE ROAD","READING","PA","19605","Berks","0.985777","0.832678","1.015452","1.038969","0 out of 10","0 out of 9","0 out of 10"
"140291","ADVOCATE GOOD SHEPHERD HOSPITAL","450 WEST HIGHWAY 22","BARRINGTON","IL","60010","Lake","0.985777","0.832678","1.019498","1.009892","0 out of 10","0 out of 9","0 out of 10"
"360262","MERCY ST ANNE HOSPITAL","3404 SYLVANIA AVENUE","TOLEDO","OH","43623","Lucas","0.985777","0.832678","1.017850","0.982038","1 out of 10","1 out of 9","1 out of 10"
"460014","MOUNTAIN WEST MEDICAL CENTER","2055 NORTH MAIN STREET","TOOELE","UT","84074","Tooele","0.985777","0.832678","0.982512","1.038851","0 out of 10","0 out of 9","0 out of 10"
"100075","ST JOSEPHS HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","TAMPA","FL","33677","Hillsborough","0.985777","0.832678","1.055957","1.017138","0 out of 10","1 out of 9","1 out of 10"
"330241","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","750 EAST ADAMS STREET","SYRACUSE","NY","13210","Onondaga","0.985777","0.832678","1.025045","1.005929","0 out of 10","0 out of 9","0 out of 10"
"050084","ST JOSEPH'S MEDICAL CENTER OF STOCKTON","1800 N CALIFORNIA ST","STOCKTON","CA","95204","San Joaquin","0.985777","0.832678","0.997068","0.965575","2 out of 10","1 out of 9","2 out of 10"
"330028","RICHMOND UNIVERSITY MEDICAL CENTER","355 BARD AVENUE","STATEN ISLAND","NY","10304","Richmond","0.985777","0.832678","1.022934","1.001901","0 out of 10","1 out of 9","1 out of 10"
"060049","YAMPA VALLEY MEDICAL CENTER","1024 CENTRAL PARK DR","STEAMBOAT SPRINGS","CO","80487","Routt","0.985777","0.832678","0.917524","0.850721","8 out of 10","7 out of 9","8 out of 10"
"420018","PALMETTO HEALTH RICHLAND","5 RICHLAND MEDICAL PARK","COLUMBIA","SC","29203","Richland","0.985777","0.832678","1.011288","1.004874","0 out of 10","0 out of 9","0 out of 10"
"260065","MERCY HOSPITAL SPRINGFIELD","1235 E CHEROKEE","SPRINGFIELD","MO","65804","Greene","0.985777","0.832678","0.956147","0.973224","1 out of 10","0 out of 9","1 out of 10"
"150162","FRANCISCAN HEALTH INDIANAPOLIS","8111 S EMERSON AVE","INDIANAPOLIS","IN","46237","Marion","0.985777","0.832678","1.000015","1.007530","0 out of 10","0 out of 9","0 out of 10"
"140184","HEARTLAND REGIONAL MEDICAL CENTER","3333 W DE YOUNG","MARION","IL","62959","Williamson","0.985777","0.832678","0.964452","0.945097","3 out of 10","1 out of 9","3 out of 10"
"160080","MERCY MEDICAL CENTER-CLINTON","1410 NORTH 4TH STREET","CLINTON","IA","52732","Clinton","0.985777","0.832678","0.997495","0.938862","3 out of 10","3 out of 9","3 out of 10"
"160069","MERCY MEDICAL CENTER-DUBUQUE","250 MERCY DRIVE","DUBUQUE","IA","52001","Dubuque","0.985777","0.832678","0.950833","0.912869","5 out of 10","3 out of 9","5 out of 10"
"150097","MAJOR HOSPITAL","2451 INTELLIPLEX DR","SHELBYVILLE","IN","46176","Shelby","0.985777","0.832678","0.982830","1.044794","0 out of 10","0 out of 9","0 out of 10"
"420009","GHS OCONEE MEMORIAL  HOSPITAL","298 MEMORIAL DRIVE","SENECA","SC","29672","Oconee","0.985777","0.832678","1.001237","1.008719","0 out of 10","0 out of 9","0 out of 10"
"050773","SAN LEANDRO HOSPITAL","13855 E 14TH STREET","SAN LEANDRO","CA","94578","Alameda","0.985777","0.832678","0.983844","1.055359","0 out of 10","0 out of 9","0 out of 10"
"450058","BAPTIST MEDICAL CENTER","111 DALLAS STREET","SAN ANTONIO","TX","78205","Bexar","0.985777","0.832678","1.032060","1.041638","0 out of 10","0 out of 9","0 out of 10"
"450213","UNIVERSITY HEALTH SYSTEM","4502 MEDICAL DR","SAN ANTONIO","TX","78229","Bexar","0.985777","0.832678","1.017539","1.065664","0 out of 10","0 out of 9","0 out of 10"
"460021","DIXIE REGIONAL MEDICAL CENTER","1380 EAST MEDICAL CENTER DRIVE","ST GEORGE","UT","84790","Washington","0.985777","0.832678","0.935014","0.941976","3 out of 10","0 out of 9","3 out of 10"
"140032","ST ANTHONYS MEMORIAL HOSPITAL","503 N MAPLE STREET","EFFINGHAM","IL","62401","Effingham","0.985777","0.832678","0.928955","0.949164","3 out of 10","0 out of 9","3 out of 10"
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","RICHMOND HEIGHTS","OH","44143","Cuyahoga","0.985777","0.832678","1.053850","0.994417","0 out of 10","2 out of 9","2 out of 10"
"450087","NORTH HILLS HOSPITAL","4401 BOOTH CALLOWAY ROAD","NORTH RICHLAND HILLS","TX","76180","Tarrant","0.985777","0.832678","1.070738","1.101073","0 out of 10","0 out of 9","0 out of 10"
"410005","OUR LADY OF FATIMA HOSPITAL","200 HIGH SERVICE AVENUE","NORTH PROVIDENCE","RI","02904","Providence","0.985777","0.832678","1.026334","1.024220","0 out of 10","0 out of 9","0 out of 10"
"500079","MULTICARE GOOD SAMARITAN HOSPITAL","401 15TH AVENUE SE","PUYALLUP","WA","98372","Pierce","0.985777","0.832678","0.962109","0.942108","3 out of 10","1 out of 9","3 out of 10"
"450580","TIMBERLANDS HOSPITAL","1100 E LOOP 304","CROCKETT","TX","75835","Houston","0.985777","0.832678","0.977587","0.993309","0 out of 10","0 out of 9","0 out of 10"
"450651","MEDICAL CENTER OF PLANO","3901 W 15TH ST","PLANO","TX","75075","Collin","0.985777","0.832678","1.139331","1.128277","0 out of 10","0 out of 9","0 out of 10"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","AZ","85008","Maricopa","0.985777","0.832678","0.887838","1.017976","0 out of 10","0 out of 9","0 out of 10"
"360230","HILLCREST HOSPITAL","6780 MAYFIELD ROAD","MAYFIELD HEIGHTS","OH","44124","Cuyahoga","0.985777","0.832678","0.993379","0.975245","1 out of 10","1 out of 9","1 out of 10"
"050438","HUNTINGTON MEMORIAL HOSPITAL","100 W  CALIFORNIA BLVD","PASADENA","CA","91109","Los Angeles","0.985777","0.832678","0.979604","0.966686","2 out of 10","0 out of 9","2 out of 10"
"310025","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","29 EAST 29TH ST","BAYONNE","NJ","07002","Hudson","0.985777","0.832678","1.115582","1.069695","0 out of 10","1 out of 9","1 out of 10"
"100242","GULF COAST REGIONAL MEDICAL CENTER","449 W 23RD ST","PANAMA CITY","FL","32405","Bay","0.985777","0.832678","1.064877","1.080198","0 out of 10","0 out of 9","0 out of 10"
"450675","MEDICAL CITY ARLINGTON","3301 MATLOCK ROAD","ARLINGTON","TX","76015","Tarrant","0.985777","0.832678","1.077378","1.104696","0 out of 10","0 out of 9","0 out of 10"
"260186","LAKE REGIONAL HEALTH SYSTEM","54 HOSPITAL DRIVE","OSAGE BEACH","MO","65065","Camden","0.985777","0.832678","0.926122","0.898202","6 out of 10","2 out of 9","6 out of 10"
"330270","HOSPITAL FOR SPECIAL SURGERY","535 EAST 70TH STREET","NEW YORK","NY","10021","New York","0.985777","0.832678","1.013139","0.993788","0 out of 10","1 out of 9","1 out of 10"
