Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","Montgomery","0.964542","0.709498","0.867252","0.500269","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.469","0.381","0 out of 10","1 out of 9","1 out of 10","0.906","0.000","0.517","0.747","2 out of 10","0 out of 9","2 out of 10","10 out of 10","0.824","0.000","0.783","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.767","0.000","2.667","1.256","0 out of 10","5 out of 9","5 out of 10","0.805","0.004","0.783","1.085","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.058394","0.026316","0 out of 10","5 out of 9","5 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","Montgomery","0.964542","0.709498","0.778524","0.474813","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.673","1.086","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","1.784","0.744","2 out of 10","5 out of 9","5 out of 10","0 out of 10","0.824","0.000","0.910","1.536","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.000","1.296","0 out of 10","0 out of 9","0 out of 10","0.767","0.000","0.566","1.477","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.776","1.151","0 out of 10","3 out of 9","3 out of 10","0.020408","0.000000","0.014851","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","Lee","0.964542","0.709498","0.981328","0.463459","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","1.422","0.378","0 out of 10","7 out of 9","7 out of 10","0.906","0.000","0.713","1.254","0 out of 10","0 out of 9","0 out of 10","7 out of 10","0.824","0.000","0.680","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","0.000","0.573","2 out of 10","0 out of 9","2 out of 10","0.767","0.000","1.948","2.227","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.604","0.524","4 out of 10","1 out of 9","4 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","Jefferson","0.964542","0.709498","1.152999","0.451897","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.626","0.359","1 out of 10","4 out of 9","4 out of 10","0.906","0.000","1.309","0.198","8 out of 10","8 out of 9","8 out of 10","1 out of 10","0.824","0.000","0.961","0.835","0 out of 10","1 out of 9","1 out of 10","0.710","0.000","0.276","0.596","2 out of 10","0 out of 9","2 out of 10","0.767","0.000","1.063","1.267","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.664","0.701","2 out of 10","0 out of 9","2 out of 10","0.020408","0.000000","0.000000","0.070175","0 out of 10","0 out of 9","0 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","Elmore","0.964542","0.709498","0.901045","0.753128","8 out of 10","7 out of 9","8 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.791","1.068","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","Cullman","0.964542","0.709498","0.816085","0.511359","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.906","0.000","0.294","0.218","7 out of 10","2 out of 9","7 out of 10","6 out of 10","0.824","0.000","1.517","0.489","4 out of 10","6 out of 9","6 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.470","0.602","2 out of 10","5 out of 9","5 out of 10","0.805","0.004","0.073","0.428","5 out of 10","0 out of 9","5 out of 10","0.020408","0.000000","0.253333","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","Covington","0.964542","0.709498","0.959637","0.715664","9 out of 10","9 out of 9","9 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.698","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.703","0.545","3 out of 10","2 out of 9","3 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","Calhoun","0.964542","0.709498","0.909999","0.769551","7 out of 10","7 out of 9","7 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.442","0.426","5 out of 10","0 out of 9","5 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","Madison","0.964542","0.709498","0.981131","0.536296","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.875","0.648","0 out of 10","2 out of 9","2 out of 10","0.906","0.000","0.878","0.674","3 out of 10","2 out of 9","3 out of 10","1 out of 10","0.824","0.000","0.983","0.978","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.327","0.499","3 out of 10","0 out of 9","3 out of 10","0.767","0.000","0.946","1.761","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.661","0.462","4 out of 10","3 out of 9","4 out of 10","0.020408","0.000000","0.048951","0.009434","5 out of 10","8 out of 9","8 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","Etowah","0.964542","0.709498","0.913202","0.591306","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.099","0.102","7 out of 10","0 out of 9","7 out of 10","0.906","0.000","0.310","0.259","7 out of 10","1 out of 9","7 out of 10","10 out of 10","0.824","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.710","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.767","0.000","2.181","1.388","0 out of 10","3 out of 9","3 out of 10","0.805","0.004","1.177","0.647","2 out of 10","4 out of 9","4 out of 10","0.020408","0.000000","0.021277","0.085714","0 out of 10","0 out of 9","0 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL","35570","Marion","0.964542","0.709498","0.951067","0.640331","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","Not Available","0.472","4 out of 10","Not Available","4 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","Fayette","0.964542","0.709498","1.126122","0.668005","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.772","1.573","0 out of 10","1 out of 9","1 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","Etowah","0.964542","0.709498","0.826197","0.528450","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.504","1.182","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.932","1.162","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.824","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.803","2.985","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.816","0.337","6 out of 10","5 out of 9","6 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","36330","Coffee","0.964542","0.709498","1.033424","0.579667","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","0.844","0.000","10 out of 10","9 out of 9","10 out of 10","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.241","0.243","7 out of 10","0 out of 9","7 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","36305","Houston","0.964542","0.709498","0.835624","0.545334","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.291","0.000","10 out of 10","9 out of 9","10 out of 10","0.906","0.000","1.410","0.515","4 out of 10","6 out of 9","6 out of 10","4 out of 10","0.824","0.000","0.745","1.007","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.492","0.000","10 out of 10","9 out of 9","10 out of 10","0.767","0.000","1.225","0.860","0 out of 10","2 out of 9","2 out of 10","0.805","0.004","0.798","0.518","4 out of 10","3 out of 9","4 out of 10","0.020408","0.000000","0.021739","0.000000","10 out of 10","9 out of 9","10 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","35205","Jefferson","0.964542","0.709498","0.792562","0.807414","6 out of 10","0 out of 9","6 out of 10","0.369","0.000","0.352","0.771","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.478","0.715","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0.824","0.000","0.830","0.589","3 out of 10","2 out of 9","3 out of 10","0.710","0.000","0.468","1.171","0 out of 10","0 out of 9","0 out of 10","0.767","0.000","1.107","1.273","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.807","0.533","4 out of 10","3 out of 9","4 out of 10","0.020408","0.000000","0.052632","0.032787","0 out of 10","3 out of 9","3 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL","35650","Lawrence","0.964542","0.709498","0.968190","0.638857","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.810","1.082","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","Jackson","0.964542","0.709498","1.200581","0.624398","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.734","0.952","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.093023","0.020408","0 out of 10","7 out of 9","7 out of 10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","Geneva","0.964542","0.709498","0.925951","0.605410","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.024","0.000","10 out of 10","9 out of 9","10 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","ALEXANDER CITY","AL","35010","Tallapoosa","0.964542","0.709498","1.160636","0.779837","7 out of 10","8 out of 9","8 out of 10","0.369","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.893","0.585","3 out of 10","3 out of 9","3 out of 10","0.020408","0.000000","0.020408","0.023529","0 out of 10","0 out of 9","0 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","Barbour","0.964542","0.709498","0.890548","0.603332","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","Not Available","0.430","5 out of 10","Not Available","5 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","36251","Clay","0.964542","0.709498","0.958448","0.600914","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.000","0.883","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","Calhoun","0.964542","0.709498","1.034623","0.805485","6 out of 10","7 out of 9","7 out of 10","0.369","0.000","0.576","1.051","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","1.440","0.650","3 out of 10","5 out of 9","5 out of 10","10 out of 10","0.824","0.000","0.237","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.277","1.694","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.726","0.228","7 out of 10","6 out of 9","7 out of 10","0.020408","0.000000","0.000000","0.042553","0 out of 10","0 out of 9","0 out of 10"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","Limestone","0.964542","0.709498","0.884435","0.656859","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.971","0.000","10 out of 10","9 out of 9","10 out of 10","1 out of 10","0.824","0.000","Not Available","0.767","1 out of 10","Not Available","1 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.922","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.647","0.671","2 out of 10","0 out of 9","2 out of 10","0.020408","0.000000","0.000000","0.026316","0 out of 10","0 out of 9","0 out of 10"
