Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote, SUB-2/-2a_Measure_Description,SUB-2_%,SUB-2_Numerator,SUB-2_Denominator,SUB-2_Footnote ,SUB-2a_%,SUB-2a_Numerator,SUB-2a_Denominator,SUB-2a_Footnote , TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2a_Denominator,TOB-2a_Footnote,TOB-3/-3a_Measure_Description,TOB-3_%,TOB-3_Numerator,TOB-3_Denominator,TOB-3_Footnote,TOB-3a_%,TOB-3a_Numerator,TOB-3a_Denominator,TOB-3a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE ","GADSDEN","AL","35903","Etowah","Hours of physical-restraint use","0.00","0","3436","","Hours of seclusion","0.00","0","3436","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","100.00%","231","231","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","240","240","","Tobacco Use Treatment (during the hospital stay)","100.00%","47","47","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","75.00%","12","16","","0.00%","0","16","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","127","127","","Healthcare Personnel Influenza Vaccination","Not Available","Not Available","Not Available","1","10/01/2016","03/31/2017"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET ","GADSDEN","AL","35901","Etowah","Hours of physical-restraint use","0.00","0","2744","","Hours of seclusion","0.00","0","2744","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","97.74%","173","177","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","98.90%","180","182","","Tobacco Use Treatment (during the hospital stay)","72.73%","24","33","","63.64%","21","33","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","98.57%","69","70","","Healthcare Personnel Influenza Vaccination","61%","269","439","","10/01/2016","03/31/2017"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE ","GENEVA","AL","36340","Geneva","Hours of physical-restraint use","0.00","0","3471","","Hours of seclusion","0.00","0","3471","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","97.14%","238","245","","Alcohol Use Brief Intervention Provided or Offered","56.52%","13","23","","56.52%","13","23","","Tobacco Use Screening","97.55%","239","245","","Tobacco Use Treatment (during the hospital stay)","59.62%","31","52","","59.62%","31","52","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","41.51%","22","53","","Healthcare Personnel Influenza Vaccination","76%","29","38","","10/01/2016","03/31/2017"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST ","EUFAULA","AL","36027","Barbour","Hours of physical-restraint use","Not Available","0","0","7","Hours of seclusion","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","18","18","","Alcohol Use Screening","100.00%","230","230","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","100.00%","230","230","","Tobacco Use Treatment (during the hospital stay)","100.00%","128","128","","100.00%","128","128","","Tobacco Use Treatment Provided or Offered at Discharge","100.00%","128","128","","100.00%","128","128","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","94.27%","148","157","","Healthcare Personnel Influenza Vaccination","46%","12","26","","10/01/2016","03/31/2017"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET ","ANNISTON","AL","36207","Calhoun","Hours of physical-restraint use","0.13","14.83","4651","","Hours of seclusion","0.00","0","4651","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Alcohol Use Screening","99.77%","432","433","","Alcohol Use Brief Intervention Provided or Offered","95.45%","63","66","","95.45%","63","66","","Tobacco Use Screening","100.00%","504","504","","Tobacco Use Treatment (during the hospital stay)","97.94%","285","291","","54.98%","160","291","","Tobacco Use Treatment Provided or Offered at Discharge","92.55%","236","255","","0.00%","0","255","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","97.10%","268","276","","Healthcare Personnel Influenza Vaccination","88%","30","34","","10/01/2016","03/31/2017"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE ","DECATUR","AL","35601","Morgan","Hours of physical-restraint use","0.07","20.48","13064","","Hours of seclusion","0.04","13.5","13064","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","26","","Alcohol Use Screening","95.36%","226","237","","Alcohol Use Brief Intervention Provided or Offered","0.00%","0","19","","0.00%","0","19","","Tobacco Use Screening","97.28%","250","257","","Tobacco Use Treatment (during the hospital stay)","0.00%","0","120","","0.00%","0","120","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","69.34%","199","287","","Healthcare Personnel Influenza Vaccination","70%","134","192","","10/01/2016","03/31/2017"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43 P O BOX 130","WINFIELD","AL","35594","Fayette","Hours of physical-restraint use","0.00","0","3458","","Hours of seclusion","0.00","0","3458","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","100.00%","209","209","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","211","211","","Tobacco Use Treatment (during the hospital stay)","97.56%","40","41","","97.56%","40","41","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","Not Available","Not Available","Not Available","7","Healthcare Personnel Influenza Vaccination","77%","82","106","","10/01/2016","03/31/2017"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST ","JASPER","AL","35502","Walker","Hours of physical-restraint use","0.03","17.42","23061","","Hours of seclusion","0.00","0","23061","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","23","23","","Alcohol Use Screening","99.81%","524","525","","Alcohol Use Brief Intervention Provided or Offered","100.00%","75","75","","98.67%","74","75","","Tobacco Use Screening","100.00%","560","560","","Tobacco Use Treatment (during the hospital stay)","99.70%","335","336","","99.11%","333","336","","Tobacco Use Treatment Provided or Offered at Discharge","99.37%","316","318","","99.37%","316","318","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","302","302","","Healthcare Personnel Influenza Vaccination","99%","83","84","","10/01/2016","03/31/2017"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 SOUTH JACKSON ST ","GROVE HILL","AL","36451","Clarke","Hours of physical-restraint use","0.00","0","1595","","Hours of seclusion","0.00","0","1595","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.27%","129","134","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","98.06%","152","155","","Tobacco Use Treatment (during the hospital stay)","0.00%","0","24","","0.00%","0","24","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","16","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","60.61%","20","33","","Healthcare Personnel Influenza Vaccination","78%","42","54","","10/01/2016","03/31/2017"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST ","TUSCALOOSA","AL","35401","Tuscaloosa","Hours of physical-restraint use","0.57","209.82","15472","","Hours of seclusion","0.12","45.83","15472","","Patients discharged on multiple antipsychotic medications with appropriate justification","81.25%","13","16","","Alcohol Use Screening","100.00%","291","291","","Alcohol Use Brief Intervention Provided or Offered","67.80%","40","59","","66.10%","39","59","","Tobacco Use Screening","100.00%","317","317","","Tobacco Use Treatment (during the hospital stay)","90.59%","154","170","","77.06%","131","170","","Tobacco Use Treatment Provided or Offered at Discharge","40.56%","58","143","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","94.82%","293","309","","Healthcare Personnel Influenza Vaccination","74%","111","149","","10/01/2016","03/31/2017"
"010101","CITIZENS BMC","604 STONE AVENUE ","TALLADEGA","AL","35160","Talladega","Hours of physical-restraint use","0.00","0","3634","","Hours of seclusion","0.00","0","3634","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","100.00%","251","251","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","98.05%","252","257","","Tobacco Use Treatment (during the hospital stay)","100.00%","257","257","","100.00%","257","257","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","257","","0.00%","0","257","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","124","124","","Healthcare Personnel Influenza Vaccination","100%","25","25","","10/01/2016","03/31/2017"
